,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.6958333,339.6216,2304.0,0.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
1,0.87916666,357.7832,2304.0,1.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
2,0.81666666,374.79047,2304.0,2.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
3,0.8041667,385.34143,2304.0,3.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
4,0.7916667,404.9548,2304.0,4.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
5,0.7291667,418.9566,2304.0,5.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
6,0.8125,440.99197,2304.0,6.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
7,0.73333335,459.46097,2304.0,7.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
8,0.55,336.90912,2304.0,0.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
9,0.5375,346.98407,2304.0,1.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
10,0.575,356.78748,2304.0,2.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
11,0.56666666,369.95453,2304.0,3.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
12,0.47083333,378.83853,2304.0,4.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
13,0.44583333,388.3901,2304.0,5.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
14,0.5708333,398.2159,2304.0,6.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
15,0.49583334,408.7604,2304.0,7.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
16,0.95416665,351.6894,2304.0,0.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
17,0.80833334,374.847,2304.0,1.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
18,0.9375,395.85318,2304.0,2.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
19,0.89166665,408.95377,2304.0,3.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
20,0.90416664,427.53876,2304.0,4.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
21,0.8958333,445.0584,2304.0,5.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
22,0.9375,457.87048,2304.0,6.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
23,0.95,478.7792,2304.0,7.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
24,0.6958333,340.12466,2304.0,0.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
25,0.6125,360.50238,2304.0,1.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
26,0.73333335,381.442,2304.0,2.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
27,0.6875,401.41907,2304.0,3.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
28,0.5708333,422.45944,2304.0,4.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
29,0.62916666,442.59305,2304.0,5.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
30,0.65,460.1132,2304.0,6.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
31,0.60833335,478.76312,2304.0,7.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
32,0.65833336,344.48233,2304.0,0.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
33,0.53333336,362.4012,2304.0,1.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
34,0.5833333,380.87103,2304.0,2.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
35,0.5708333,398.3756,2304.0,3.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
36,0.5208333,408.14395,2304.0,4.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
37,0.69166666,428.2177,2304.0,5.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
38,0.5708333,447.5076,2304.0,6.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
39,0.55,457.31412,2304.0,7.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
40,0.6041667,228.29655,2304.0,0.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
41,0.5208333,241.38123,2304.0,1.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
42,0.71666664,248.16325,2304.0,2.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
43,0.6166667,260.873,2304.0,3.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
44,0.525,268.0125,2304.0,4.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
45,0.5875,277.35645,2304.0,5.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
46,0.65833336,291.43768,2304.0,6.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
47,0.6625,304.47726,2304.0,7.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
48,0.65,203.08827,2304.0,0.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
49,0.5541667,216.91765,2304.0,1.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
50,0.74583334,231.13483,2304.0,2.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
51,0.6458333,237.91891,2304.0,3.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
52,0.75416666,251.89725,2304.0,4.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
53,0.56666666,258.37393,2304.0,5.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
54,0.59166664,267.8856,2304.0,6.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
55,0.6458333,275.7174,2304.0,7.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
56,0.92083335,196.92528,2304.0,0.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
57,0.78333336,212.12038,2304.0,1.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
58,0.9375,226.39421,2304.0,2.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
59,0.9125,241.61713,2304.0,3.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
60,0.8875,257.22482,2304.0,4.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
61,0.87083334,273.55032,2304.0,5.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
62,0.875,289.33905,2304.0,6.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
63,0.875,304.3159,2304.0,7.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
64,0.67083335,184.24231,2304.0,0.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
65,0.69166666,197.03502,2304.0,1.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
66,0.84583336,212.084,2304.0,2.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
67,0.85833335,227.00241,2304.0,3.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
68,0.79583335,241.26836,2304.0,4.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
69,0.8208333,255.24237,2304.0,5.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
70,0.8125,262.36807,2304.0,6.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
71,0.85,276.12863,2304.0,7.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
