,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.4875,323.95273,2304.0,0.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
1,0.78333336,323.95273,2304.0,1.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
2,0.7875,323.95273,2304.0,2.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
3,0.74583334,323.95273,2304.0,3.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
4,0.7083333,323.95273,2304.0,4.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
5,0.68333334,323.95273,2304.0,5.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
6,0.7916667,323.95273,2304.0,6.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
7,0.65416664,323.95273,2304.0,7.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
8,0.49583334,248.30972,2304.0,0.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
9,0.525,248.30972,2304.0,1.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
10,0.5625,248.30972,2304.0,2.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
11,0.5208333,248.30972,2304.0,3.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
12,0.44583333,248.30972,2304.0,4.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
13,0.45416668,248.30972,2304.0,5.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
14,0.5541667,248.30972,2304.0,6.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
15,0.51666665,248.30972,2304.0,7.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
16,0.8375,302.1513,2304.0,0.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
17,0.45416668,302.1513,2304.0,1.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
18,0.81666666,302.1513,2304.0,2.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
19,0.7125,302.1513,2304.0,3.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
20,0.8041667,302.1513,2304.0,4.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
21,0.7083333,302.1513,2304.0,5.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
22,0.925,302.1513,2304.0,6.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
23,0.85,302.1513,2304.0,7.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
24,0.6875,287.6016,2304.0,0.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
25,0.5375,287.6016,2304.0,1.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
26,0.71666664,287.6016,2304.0,2.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
27,0.57916665,287.6016,2304.0,3.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
28,0.65,287.6016,2304.0,4.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
29,0.59583336,287.6016,2304.0,5.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
30,0.6791667,287.6016,2304.0,6.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
31,0.6375,287.6016,2304.0,7.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
32,0.625,236.34334,2304.0,0.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
33,0.5416667,236.34334,2304.0,1.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
34,0.5083333,236.34334,2304.0,2.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
35,0.5625,236.34334,2304.0,3.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
36,0.5208333,236.34334,2304.0,4.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
37,0.575,236.34334,2304.0,5.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
38,0.5208333,236.34334,2304.0,6.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
39,0.575,236.34334,2304.0,7.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
40,0.5708333,290.28165,2304.0,0.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
41,0.47916666,290.28165,2304.0,1.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
42,0.7083333,290.28165,2304.0,2.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
43,0.5833333,290.28165,2304.0,3.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
44,0.52916664,290.28165,2304.0,4.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
45,0.55833334,290.28165,2304.0,5.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
46,0.6625,290.28165,2304.0,6.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
47,0.6125,290.28165,2304.0,7.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
48,0.64166665,247.00832,2304.0,0.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
49,0.4875,247.00832,2304.0,1.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
50,0.6041667,247.00832,2304.0,2.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
51,0.6458333,247.00832,2304.0,3.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
52,0.5125,247.00832,2304.0,4.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
53,0.55833334,247.00832,2304.0,5.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
54,0.5416667,247.00832,2304.0,6.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
55,0.64166665,247.00832,2304.0,7.0,7,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
56,0.7375,282.42734,2304.0,0.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
57,0.5208333,282.42734,2304.0,1.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
58,0.9125,282.42734,2304.0,2.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
59,0.85,282.42734,2304.0,3.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
60,0.5083333,282.42734,2304.0,4.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
61,0.79583335,282.42734,2304.0,5.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
62,0.75416666,282.42734,2304.0,6.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
63,0.77916664,282.42734,2304.0,7.0,8,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
64,0.6125,234.02106,2304.0,0.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
65,0.49166667,234.02106,2304.0,1.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
66,0.65,234.02106,2304.0,2.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
67,0.7291667,234.02106,2304.0,3.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
68,0.525,234.02106,2304.0,4.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
69,0.7875,234.02106,2304.0,5.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
70,0.81666666,234.02106,2304.0,6.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
71,0.69166666,234.02106,2304.0,7.0,9,both,22,2,BNCI2014-001,AttentionBaseNet|_EA-Frozen
