,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.5125,138.84329,2304.0,0.0,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
1,0.8,158.13263,2304.0,1.0,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
2,0.74583334,178.55865,2304.0,2.0,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
3,0.69166666,195.77237,2304.0,3.0,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
4,0.7,212.18488,2304.0,4.0,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
5,0.675,228.621,2304.0,5.0,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
6,0.8208333,250.84943,2304.0,6.0,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
7,0.7375,276.06238,2304.0,7.0,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
8,0.55833334,130.76035,2304.0,0.0,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
9,0.5541667,154.09381,2304.0,1.0,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
10,0.5,165.25636,2304.0,2.0,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
11,0.6041667,179.89143,2304.0,3.0,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
12,0.5083333,187.60416,2304.0,4.0,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
13,0.5125,204.1893,2304.0,5.0,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
14,0.5625,213.40627,2304.0,6.0,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
15,0.5541667,223.16791,2304.0,7.0,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
16,0.8875,138.2363,2304.0,0.0,3,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
17,0.81666666,158.57353,2304.0,1.0,3,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
18,0.925,206.96962,2304.0,2.0,3,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
