,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.5416667,116.86401,2304.0,0.0,0.28662112,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
1,0.75,116.86401,2304.0,1.0,0.38775018,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
2,0.625,116.86401,2304.0,2.0,0.31055358,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
3,0.625,116.86401,2304.0,3.0,0.32760853,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
4,0.5625,116.86401,2304.0,4.0,0.28249034,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
5,0.5,116.86401,2304.0,5.0,0.3003572,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
6,0.625,116.86401,2304.0,6.0,0.4280022,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
7,0.5625,116.86401,2304.0,7.0,0.2940091,1,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
8,0.625,108.439606,2304.0,0.0,0.33219215,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
9,0.6666667,108.439606,2304.0,1.0,0.31416613,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
10,0.5416667,108.439606,2304.0,2.0,0.38516796,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
11,0.6041667,108.439606,2304.0,3.0,0.2892147,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
12,0.5416667,108.439606,2304.0,4.0,0.29628024,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
13,0.47916666,108.439606,2304.0,5.0,0.29915816,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
14,0.47916666,108.439606,2304.0,6.0,0.31961724,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
15,0.5,108.439606,2304.0,7.0,0.2946673,2,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
16,0.7083333,99.37639,2304.0,0.0,0.4342061,3,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
17,0.4375,99.37639,2304.0,1.0,0.27919903,3,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
18,0.8125,99.37639,2304.0,2.0,0.31667894,3,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
19,0.5833333,99.37639,2304.0,3.0,0.3198741,3,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
20,0.6875,99.37639,2304.0,4.0,0.31938812,3,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
21,0.6458333,99.37639,2304.0,5.0,0.36550257,3,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
22,0.6666667,99.37639,2304.0,6.0,0.7558876,3,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
23,0.6041667,99.37639,2304.0,7.0,0.3399754,3,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
24,0.75,147.48987,2304.0,0.0,0.31182662,4,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
25,0.6666667,147.48987,2304.0,1.0,0.30027992,4,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
26,0.5833333,147.48987,2304.0,2.0,0.37046373,4,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
27,0.6041667,147.48987,2304.0,3.0,0.27698168,4,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
28,0.6458333,147.48987,2304.0,4.0,0.28441644,4,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
29,0.5833333,147.48987,2304.0,5.0,0.28271067,4,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
30,0.625,147.48987,2304.0,6.0,0.25491402,4,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
31,0.5,147.48987,2304.0,7.0,0.24319635,4,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
32,0.5833333,166.66473,2304.0,0.0,0.29730207,5,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
33,0.625,166.66473,2304.0,1.0,0.28363985,5,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
34,0.47916666,166.66473,2304.0,2.0,0.27679813,5,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
35,0.6666667,166.66473,2304.0,3.0,0.2801721,5,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
36,0.5208333,166.66473,2304.0,4.0,0.2907212,5,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
37,0.6458333,166.66473,2304.0,5.0,0.3071834,5,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
38,0.5208333,166.66473,2304.0,6.0,0.30891615,5,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
39,0.5416667,166.66473,2304.0,7.0,0.25994623,5,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
40,0.4375,105.32679,2304.0,0.0,0.31578308,6,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
41,0.4375,105.32679,2304.0,1.0,0.27770957,6,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
42,0.6875,105.32679,2304.0,2.0,0.37746003,6,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
43,0.6041667,105.32679,2304.0,3.0,0.25978795,6,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
44,0.5833333,105.32679,2304.0,4.0,0.26852664,6,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
45,0.5625,105.32679,2304.0,5.0,0.27375638,6,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
46,0.6875,105.32679,2304.0,6.0,0.25230587,6,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
47,0.625,105.32679,2304.0,7.0,0.273933,6,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
48,0.5416667,90.03478,2304.0,0.0,0.3416442,7,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
49,0.5625,90.03478,2304.0,1.0,0.36281762,7,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
50,0.5,90.03478,2304.0,2.0,0.49498588,7,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
51,0.5,90.03478,2304.0,3.0,0.32900476,7,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
52,0.7708333,90.03478,2304.0,4.0,0.3445923,7,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
53,0.625,90.03478,2304.0,5.0,0.31425554,7,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
54,0.5833333,90.03478,2304.0,6.0,0.38188207,7,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
55,0.6458333,90.03478,2304.0,7.0,0.30972004,7,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
56,0.6458333,90.18554,2304.0,0.0,0.33607668,8,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
57,0.5,90.18554,2304.0,1.0,0.31727022,8,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
58,0.8958333,90.18554,2304.0,2.0,0.6510077,8,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
59,0.5833333,90.18554,2304.0,3.0,0.349289,8,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
60,0.5833333,90.18554,2304.0,4.0,0.37848338,8,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
61,0.6666667,90.18554,2304.0,5.0,0.46269733,8,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
62,0.6875,90.18554,2304.0,6.0,0.27324677,8,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
63,0.5208333,90.18554,2304.0,7.0,0.36072484,8,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
64,0.4375,96.11371,2304.0,0.0,0.34604347,9,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
65,0.5833333,96.11371,2304.0,1.0,0.36322954,9,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
66,0.8541667,96.11371,2304.0,2.0,0.36872607,9,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
67,0.625,96.11371,2304.0,3.0,0.3576764,9,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
68,0.5625,96.11371,2304.0,4.0,0.34827244,9,both,22,2,BNCI2014-001,CTNet|_EA-Frozen
