,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.8208333,1122.9025,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.85,1175.0103,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.8125,1235.4281,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.8625,1272.6824,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.85,1343.9053,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.80833334,1413.1667,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.87916666,1480.1139,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.8,1563.3873,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.6125,17733.375,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.47916666,17784.115,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.575,17823.047,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.56666666,17869.027,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.5375,17896.572,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.55833334,17973.43,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.62083334,17997.818,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.5,18029.062,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.95416665,1436.7379,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.94166666,1537.1573,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.9375,1638.6614,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.9458333,1728.8688,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.9583333,1802.705,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.95,1889.8401,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.95,1934.5553,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.94166666,2052.833,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.6875,1378.3369,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.6666667,1448.172,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
26,0.6791667,1498.5026,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
27,0.575,1546.0787,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
28,0.6625,1599.8816,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
29,0.6625,1686.8217,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
30,0.69166666,1716.5123,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
31,0.62916666,1784.1405,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
32,0.71666664,1433.6241,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
33,0.46666667,1472.1705,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
34,0.81666666,1538.976,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
35,0.5708333,1565.608,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
36,0.5375,1668.4258,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
37,0.67083335,1759.9677,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
38,0.5625,1842.7238,2304.0,6.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
39,0.525,1871.3943,2304.0,7.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
40,0.65,1329.3347,2304.0,0.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
41,0.59583336,1388.9478,2304.0,1.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
42,0.675,1484.6273,2304.0,2.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
43,0.6125,1582.3174,2304.0,3.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
44,0.64166665,1666.2572,2304.0,4.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
45,0.60833335,1746.6901,2304.0,5.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
46,0.7291667,1807.8663,2304.0,6.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
47,0.6375,1893.0267,2304.0,7.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
48,0.7291667,1360.633,2304.0,0.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
49,0.62916666,1417.1141,2304.0,1.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
50,0.7083333,1450.314,2304.0,2.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
51,0.76666665,1560.1492,2304.0,3.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
52,0.65416664,1592.0126,2304.0,4.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
53,0.65416664,1698.2903,2304.0,5.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
54,0.68333334,1753.244,2304.0,6.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
55,0.64166665,1782.5316,2304.0,7.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
56,0.95416665,1397.1932,2304.0,0.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
57,0.93333334,1499.9106,2304.0,1.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
58,0.95,1615.355,2304.0,2.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
59,0.97083336,1740.5269,2304.0,3.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
60,0.97083336,1868.3325,2304.0,4.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
61,0.96666664,1993.287,2304.0,5.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
62,0.9583333,2121.2703,2304.0,6.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
63,0.95,2249.6296,2304.0,7.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
64,0.8208333,1193.8589,2304.0,0.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
65,0.79583335,1274.5911,2304.0,1.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
66,0.8833333,1352.6146,2304.0,2.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
67,0.8625,1377.3094,2304.0,3.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
68,0.85,1451.6378,2304.0,4.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
