,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.8,2254.8342,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.8375,2303.3562,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.8958333,2351.693,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.8833333,2399.8357,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.775,2448.3215,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.8625,2496.5598,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.80833334,2545.55,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.825,2600.9084,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.56666666,2196.8765,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.5625,2240.013,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.5125,2284.124,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.525,2327.5493,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.5,2371.4348,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.5625,2415.8315,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.575,2466.3179,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.51666665,2519.6797,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.93333334,2193.157,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.925,2239.1848,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.93333334,2285.8035,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.94166666,2330.6377,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.9291667,2376.697,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.9375,2424.0894,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.97083336,2476.139,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.9291667,2529.4077,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.625,2189.044,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.675,2237.5515,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
26,0.67083335,2285.157,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
27,0.65416664,2331.1992,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
28,0.625,2377.2622,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
29,0.725,2431.4023,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
30,0.65,2483.5278,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
31,0.55,2536.8525,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
32,0.7125,2177.2183,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
33,0.62083334,2223.1829,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
34,0.7916667,2270.8267,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
35,0.525,2315.5322,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
36,0.72083336,2365.346,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
37,0.7708333,2420.435,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
38,0.50416666,2472.7625,2304.0,6.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
39,0.6875,2523.5366,2304.0,7.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
40,0.6625,2177.0999,2304.0,0.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
41,0.6125,2222.3315,2304.0,1.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
42,0.575,2268.466,2304.0,2.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
43,0.675,2317.979,2304.0,3.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
44,0.59166664,2371.3865,2304.0,4.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
45,0.5875,2419.9548,2304.0,5.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
46,0.5875,2472.114,2304.0,6.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
47,0.575,2523.8877,2304.0,7.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
