,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.85833335,1905.6641,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.89166665,1979.868,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.825,2053.1858,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.84166664,2124.6597,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.87083334,2206.69,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.8041667,2294.2083,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.9166667,2379.2136,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.7916667,2460.128,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.55833334,1827.2307,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.57916665,1903.864,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.575,1983.0599,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.55,2067.1128,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.54583335,2152.7832,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.50416666,2230.7363,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.5416667,2310.8628,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.47916666,2376.7437,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.94166666,1841.8099,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.9791667,1916.9993,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.96666664,2005.0009,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.9375,2091.4072,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.95,2177.8281,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.9625,2271.0857,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.9458333,2363.896,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.9375,2448.408,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.6875,1836.3856,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
