,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.54583335,1943.892,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.8958333,2082.9353,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.5708333,2197.1711,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.62083334,2319.8694,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.5125,2446.4211,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.575,2546.743,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.87083334,2662.5156,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.60833335,2779.438,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.55833334,1902.6726,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.49166667,2021.7727,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.53333336,2078.1714,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.5625,2170.0798,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.5375,2217.4492,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.56666666,2278.9478,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.5416667,2372.967,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.5125,2460.7524,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.90833336,1507.0338,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.54583335,1597.6993,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.6,1651.2518,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.8333333,1770.4735,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.5833333,1825.1945,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.9625,1954.976,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.95416665,2068.5632,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.93333334,2181.7163,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.5833333,1504.6022,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.46666667,1612.9515,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
26,0.64166665,1731.9474,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
27,0.45416668,1853.397,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
28,0.46666667,1975.4056,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
29,0.5625,2076.1875,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
30,0.62916666,2172.6477,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
31,0.6,2257.4443,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
32,0.55833334,1486.0652,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
33,0.53333336,1583.6555,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
34,0.525,1657.9108,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
35,0.49166667,1716.7333,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
36,0.48333332,1760.512,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
37,0.56666666,1809.2212,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
38,0.5,1899.5808,2304.0,6.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
39,0.51666665,1959.3201,2304.0,7.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
40,0.55833334,1184.147,2304.0,0.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
41,0.51666665,1287.7078,2304.0,1.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
42,0.62916666,1393.6783,2304.0,2.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
43,0.525,1501.1436,2304.0,3.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
44,0.56666666,1593.9104,2304.0,4.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
45,0.6041667,1691.05,2304.0,5.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
46,0.6166667,1776.2487,2304.0,6.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
47,0.62083334,1869.46,2304.0,7.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
48,0.5375,1190.9752,2304.0,0.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
49,0.52916664,1293.91,2304.0,1.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
50,0.68333334,1357.0631,2304.0,2.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
51,0.52916664,1450.0094,2304.0,3.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
52,0.5375,1539.015,2304.0,4.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
53,0.59166664,1620.8721,2304.0,5.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
54,0.5875,1711.3109,2304.0,6.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
55,0.7125,1814.0132,2304.0,7.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
56,0.97083336,1181.5713,2304.0,0.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
57,0.8,1274.3463,2304.0,1.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
58,0.95416665,1373.4999,2304.0,2.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
59,0.75416666,1468.9478,2304.0,3.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
60,0.92083335,1582.4861,2304.0,4.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
61,0.82916665,1673.3905,2304.0,5.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
62,0.71666664,1771.7374,2304.0,6.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
63,0.85833335,1872.7069,2304.0,7.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
64,0.6166667,1184.2964,2304.0,0.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
65,0.47916666,1252.2872,2304.0,1.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
66,0.6125,1333.1115,2304.0,2.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
67,0.475,1413.819,2304.0,3.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
68,0.5083333,1505.5281,2304.0,4.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
69,0.55,1581.8782,2304.0,5.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
