,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.875,1935.1154,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.875,2077.4714,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.87083334,2214.716,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.8625,2349.6575,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.9,2492.7808,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.78333336,2613.2903,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.8333333,2724.2122,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.8208333,2873.769,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.5208333,1835.94,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.49583334,1957.5988,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.53333336,2086.023,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.5541667,2182.2307,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.5125,2270.5535,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.55833334,2353.1465,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.56666666,2439.793,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.5083333,2533.3406,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.9458333,1433.5742,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.93333334,1557.432,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.97083336,1688.486,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.925,1804.8867,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.9625,1915.7573,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.9458333,2027.5671,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.95,2144.2993,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.9291667,2280.0186,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.62916666,1418.7372,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.6,1525.5477,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
26,0.65833336,1639.8984,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
27,0.5541667,1722.9905,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
28,0.69166666,1825.0388,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
29,0.69166666,1930.3627,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
30,0.65,2029.8335,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
31,0.62083334,2152.1882,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
32,0.53333336,1424.0931,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
33,0.5416667,1511.2289,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
34,0.5083333,1594.783,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
35,0.5083333,1676.0037,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
36,0.56666666,1754.5433,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
37,0.575,1836.8092,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
38,0.5375,1909.4061,2304.0,6.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
39,0.525,1998.7266,2304.0,7.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
40,0.65416664,1092.223,2304.0,0.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
41,0.64166665,1184.1815,2304.0,1.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
42,0.625,1279.5942,2304.0,2.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
43,0.55,1362.3657,2304.0,3.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
44,0.5875,1452.1984,2304.0,4.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
45,0.6333333,1541.2545,2304.0,5.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
46,0.6458333,1633.8142,2304.0,6.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
47,0.56666666,1729.9343,2304.0,7.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
48,0.75,1091.6874,2304.0,0.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
49,0.6166667,1149.5345,2304.0,1.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
50,0.6333333,1214.0188,2304.0,2.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
51,0.65,1298.5995,2304.0,3.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
52,0.75416666,1389.683,2304.0,4.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
53,0.5708333,1459.3458,2304.0,5.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
54,0.6958333,1542.9171,2304.0,6.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
55,0.65,1602.8872,2304.0,7.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
56,0.9583333,1113.7766,2304.0,0.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
57,0.975,1233.2412,2304.0,1.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
58,0.975,1353.3369,2304.0,2.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
59,0.975,1473.088,2304.0,3.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
60,0.97083336,1593.1283,2304.0,4.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
61,0.9583333,1716.3248,2304.0,5.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
62,0.9458333,1827.1094,2304.0,6.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
63,0.975,1945.719,2304.0,7.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
64,0.775,1089.1704,2304.0,0.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
65,0.81666666,1193.777,2304.0,1.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
66,0.8375,1287.3779,2304.0,2.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
67,0.6625,1379.2307,2304.0,3.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
68,0.6958333,1475.7291,2304.0,4.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
69,0.8375,1567.1003,2304.0,5.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
70,0.825,1653.4536,2304.0,6.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
71,0.7916667,1748.5161,2304.0,7.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
