,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.85833335,2152.5662,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.84583336,2190.6938,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.79583335,2229.289,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.8,2268.611,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.84583336,2307.8242,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.8333333,2347.703,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.875,2388.6003,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.85,2429.5535,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.5625,2156.8208,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.55833334,2190.94,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.525,2227.683,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.5375,2260.8772,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.51666665,2295.981,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.55,2333.2393,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.56666666,2364.7937,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.5541667,2401.8835,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.9375,2098.4653,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.9291667,2135.8254,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.9625,2174.5618,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.93333334,2212.7854,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.9458333,2251.8396,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.9583333,2290.5469,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.9458333,2328.9968,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.95,2375.3767,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.62916666,2117.8093,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.68333334,2158.291,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
