,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.80833334,1146.5881,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.84583336,1236.9407,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.875,1328.5885,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.79583335,1408.6981,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.8333333,1490.511,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.84166664,1578.5818,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.825,1671.0121,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.87916666,1753.6515,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.575,1161.3041,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.56666666,1212.899,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.5208333,1289.3353,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.47916666,1362.4615,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.52916664,1424.9598,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.5125,1488.5583,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.5208333,1557.9398,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.55833334,1651.3657,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.93333334,1167.8374,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.90833336,1243.7467,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.94166666,1336.1393,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.9583333,1431.1215,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.9375,1503.4304,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.9458333,1586.821,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.9,1686.2941,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.93333334,1795.7765,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.5875,1154.7926,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.68333334,1240.4799,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
26,0.7,1317.722,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
27,0.5708333,1394.8376,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
28,0.6458333,1472.1676,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
29,0.65,1546.7097,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
