,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.73333335,1498.2668,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.8958333,1527.9146,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.7708333,1542.5216,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.82916665,1566.8617,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.6625,1580.0494,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.775,1595.6763,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.84583336,1613.6338,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.8041667,1644.888,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.59583336,1486.3876,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.5375,1516.2096,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.5625,1531.1783,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.6458333,1565.4835,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.50416666,1578.826,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.53333336,1615.1163,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.57916665,1640.6208,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.5,1661.4656,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.90416664,1269.3844,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.8375,1288.3062,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.95416665,1324.5969,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.80833334,1342.0554,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.90416664,1360.5115,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.97083336,1399.6886,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.9583333,1448.2853,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.96666664,1475.8754,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.68333334,1404.8958,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
