,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.85,650.7858,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.90416664,691.1545,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.75,711.58325,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.87916666,784.50934,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.825,808.14606,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.76666665,850.08264,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.8833333,872.34344,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.8125,899.0795,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.62083334,561.29535,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.53333336,591.0358,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.49166667,610.8584,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.55,642.30084,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.51666665,662.41614,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.5125,717.1716,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.5833333,737.25104,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.49166667,761.09796,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.9458333,585.6377,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.9125,641.4371,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.94166666,680.70337,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.73333335,701.08636,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.93333334,739.61005,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.9,761.1474,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.93333334,782.0355,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.95416665,806.62744,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.6875,630.21045,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
