,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.39583334,569.8726,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.6875,569.8726,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.7083333,569.8726,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.5208333,569.8726,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.5416667,569.8726,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.7083333,569.8726,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.6875,569.8726,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.5416667,569.8726,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.5208333,703.09076,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.6875,703.09076,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.6041667,703.09076,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.5416667,703.09076,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.47916666,703.09076,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.6041667,703.09076,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.5625,703.09076,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.5,703.09076,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.6875,602.55707,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.6041667,602.55707,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.8333333,602.55707,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.5208333,602.55707,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.7708333,602.55707,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.8333333,602.55707,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.875,602.55707,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.7291667,602.55707,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.6666667,523.52594,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.5,523.52594,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
26,0.7916667,523.52594,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
27,0.5,523.52594,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
28,0.6875,523.52594,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
29,0.6458333,523.52594,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
30,0.5625,523.52594,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
31,0.5,523.52594,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
32,0.5208333,565.18085,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
33,0.5,565.18085,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
34,0.5416667,565.18085,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
35,0.5,565.18085,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
36,0.5416667,565.18085,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
37,0.5416667,565.18085,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
38,0.5,565.18085,2304.0,6.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
39,0.5416667,565.18085,2304.0,7.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
40,0.5416667,744.77094,2304.0,0.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
41,0.5416667,744.77094,2304.0,1.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
42,0.8125,744.77094,2304.0,2.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
43,0.5416667,744.77094,2304.0,3.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
44,0.5,744.77094,2304.0,4.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
45,0.6875,744.77094,2304.0,5.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
46,0.5416667,744.77094,2304.0,6.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
47,0.5833333,744.77094,2304.0,7.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
48,0.6458333,541.50336,2304.0,0.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
49,0.5416667,541.50336,2304.0,1.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
50,0.6041667,541.50336,2304.0,2.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
51,0.6458333,541.50336,2304.0,3.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
52,0.5,541.50336,2304.0,4.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
53,0.5416667,541.50336,2304.0,5.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
54,0.6666667,541.50336,2304.0,6.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
55,0.47916666,541.50336,2304.0,7.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
56,0.8125,594.47327,2304.0,0.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
57,0.5833333,594.47327,2304.0,1.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
58,0.875,594.47327,2304.0,2.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
59,0.5208333,594.47327,2304.0,3.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
60,0.5,594.47327,2304.0,4.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
61,0.8333333,594.47327,2304.0,5.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
62,0.8125,594.47327,2304.0,6.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
63,0.7916667,594.47327,2304.0,7.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
64,0.5833333,660.87665,2304.0,0.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
65,0.6666667,660.87665,2304.0,1.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
66,0.8125,660.87665,2304.0,2.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
67,0.75,660.87665,2304.0,3.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
68,0.5,660.87665,2304.0,4.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
69,0.6458333,660.87665,2304.0,5.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
70,0.6666667,660.87665,2304.0,6.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
71,0.6041667,660.87665,2304.0,7.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
