,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.45833334,27.626984,2304.0,0.0,0.5207392,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.45833334,27.626984,2304.0,1.0,0.48502317,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.5,27.626984,2304.0,2.0,0.43127993,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.5416667,27.626984,2304.0,3.0,0.46820545,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.375,27.626984,2304.0,4.0,0.4160294,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.5833333,27.626984,2304.0,5.0,0.43954986,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.5,27.626984,2304.0,6.0,0.43564788,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.5416667,27.626984,2304.0,7.0,0.46374416,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.5833333,24.485828,2304.0,0.0,0.511401,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.45833334,24.485828,2304.0,1.0,0.43625075,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.5416667,24.485828,2304.0,2.0,0.49997467,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.5,24.485828,2304.0,3.0,0.43172574,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.5416667,24.485828,2304.0,4.0,0.52323645,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.5,24.485828,2304.0,5.0,0.46732616,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.45833334,24.485828,2304.0,6.0,0.5220974,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.45833334,24.485828,2304.0,7.0,0.54621714,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.6666667,22.03152,2304.0,0.0,0.54931164,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.375,22.03152,2304.0,1.0,0.5343075,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.5416667,22.03152,2304.0,2.0,0.52406806,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.45833334,22.03152,2304.0,3.0,0.42671952,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.45833334,22.03152,2304.0,4.0,0.5866856,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.375,22.03152,2304.0,5.0,0.6409347,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.5833333,22.03152,2304.0,6.0,0.49282482,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.5,22.03152,2304.0,7.0,0.560451,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.5833333,21.471664,2304.0,0.0,0.45992106,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.45833334,21.471664,2304.0,1.0,0.41257226,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
