,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.39583334,574.8103,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.6875,574.8103,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.7083333,574.8103,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.5208333,574.8103,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.5416667,574.8103,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.7083333,574.8103,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.6875,574.8103,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.5416667,574.8103,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.5208333,706.3201,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.6875,706.3201,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.6041667,706.3201,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.5416667,706.3201,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.47916666,706.3201,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.6041667,706.3201,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.5625,706.3201,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.5,706.3201,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.6875,602.7309,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.6041667,602.7309,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.8333333,602.7309,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.5208333,602.7309,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.7708333,602.7309,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.8333333,602.7309,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.875,602.7309,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
