,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.4375,633.20825,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.85833335,650.8491,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.71666664,684.55615,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.5208333,701.78094,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.7375,730.151,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.625,765.4467,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.8125,782.3609,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.65416664,806.58356,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.5375,754.7938,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.52916664,771.7789,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.49583334,789.2386,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.56666666,823.09515,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.4625,840.2883,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.4875,857.30426,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.62083334,893.36316,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.48333332,911.24115,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.825,652.25116,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.5208333,668.8848,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.85,685.37274,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.5375,718.58307,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.8208333,735.23706,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.75,756.6721,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.82916665,773.99664,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.82916665,790.9964,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.69166666,620.7547,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.48333332,636.82,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
26,0.65416664,653.4742,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
27,0.475,674.5932,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
28,0.6333333,708.29126,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
29,0.59583336,778.02075,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
30,0.69166666,810.4677,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
31,0.625,828.219,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
32,0.5541667,608.1044,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
33,0.47083333,648.37885,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
34,0.54583335,664.7529,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
35,0.60833335,681.0486,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
36,0.51666665,697.4048,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
37,0.6125,713.8098,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
38,0.525,774.5345,2304.0,6.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
39,0.56666666,791.01587,2304.0,7.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
40,0.59166664,666.07715,2304.0,0.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
41,0.4875,696.3211,2304.0,1.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
42,0.6458333,712.91064,2304.0,2.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
43,0.62083334,731.85864,2304.0,3.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
44,0.52916664,776.00415,2304.0,4.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
45,0.6,797.80804,2304.0,5.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
46,0.68333334,814.072,2304.0,6.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
47,0.59166664,830.661,2304.0,7.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
48,0.6375,553.1268,2304.0,0.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
49,0.49583334,580.07855,2304.0,1.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
50,0.6625,642.467,2304.0,2.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
51,0.5833333,659.91614,2304.0,3.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
52,0.5375,686.44995,2304.0,4.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
53,0.52916664,703.556,2304.0,5.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
54,0.525,720.45215,2304.0,6.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
55,0.575,738.7779,2304.0,7.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
56,0.8333333,586.3799,2304.0,0.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
