,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.4375,1073.488,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.85833335,1073.488,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.7375,1073.488,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.51666665,1073.488,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.6333333,1073.488,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.6125,1073.488,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.8125,1073.488,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.55,1073.488,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.52916664,1289.8588,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.5708333,1289.8588,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.475,1289.8588,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.5083333,1289.8588,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.5083333,1289.8588,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.4875,1289.8588,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.6,1289.8588,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.5,1289.8588,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.67083335,1105.1992,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.5125,1105.1992,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.8208333,1105.1992,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.50416666,1105.1992,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.81666666,1105.1992,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.76666665,1105.1992,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.87916666,1105.1992,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.77916664,1105.1992,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.6666667,978.88434,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.53333336,978.88434,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
26,0.65,978.88434,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
27,0.49583334,978.88434,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
28,0.56666666,978.88434,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
29,0.6333333,978.88434,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
30,0.62083334,978.88434,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
31,0.5416667,978.88434,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
32,0.56666666,1034.848,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
33,0.45833334,1034.848,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
34,0.57916665,1034.848,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
35,0.5875,1034.848,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
36,0.53333336,1034.848,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
37,0.5625,1034.848,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
38,0.52916664,1034.848,2304.0,6.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
39,0.5083333,1034.848,2304.0,7.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
40,0.5208333,1382.2024,2304.0,0.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
41,0.54583335,1382.2024,2304.0,1.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
42,0.6375,1382.2024,2304.0,2.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
