,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.64166665,208.48418,2304.0,0.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
1,0.87916666,222.95467,2304.0,1.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
2,0.78333336,233.67056,2304.0,2.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
3,0.5833333,240.53342,2304.0,3.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
4,0.825,251.35005,2304.0,4.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
5,0.8041667,264.0412,2304.0,5.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
6,0.8,271.83163,2304.0,6.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
7,0.8041667,286.73438,2304.0,7.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
8,0.575,177.95613,2304.0,0.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
9,0.50416666,185.43675,2304.0,1.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
10,0.5083333,193.01091,2304.0,2.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
11,0.5708333,205.00482,2304.0,3.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
12,0.49583334,212.26279,2304.0,4.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
13,0.4875,221.5443,2304.0,5.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
14,0.54583335,236.5717,2304.0,6.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
15,0.49583334,245.82063,2304.0,7.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
16,0.8958333,171.25438,2304.0,0.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
17,0.875,187.28482,2304.0,1.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
18,0.9458333,203.65926,2304.0,2.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
19,0.9291667,222.25705,2304.0,3.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
20,0.96666664,241.32506,2304.0,4.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
21,0.9625,252.1779,2304.0,5.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
22,0.95416665,270.71844,2304.0,6.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
23,0.95,288.85596,2304.0,7.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
24,0.725,169.59648,2304.0,0.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
25,0.50416666,177.46513,2304.0,1.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
26,0.73333335,191.86751,2304.0,2.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
27,0.625,203.78778,2304.0,3.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
28,0.6875,215.50447,2304.0,4.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
29,0.675,229.56122,2304.0,5.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
30,0.6666667,236.92044,2304.0,6.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
31,0.65833336,250.43205,2304.0,7.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
32,0.62916666,179.02322,2304.0,0.0,5,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
33,0.75416666,198.53865,2304.0,1.0,5,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
34,0.675,217.4773,2304.0,2.0,5,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
35,0.5416667,227.00307,2304.0,3.0,5,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
