,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.55,245.01407,2304.0,0.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
1,0.6625,245.01407,2304.0,1.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
2,0.73333335,245.01407,2304.0,2.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
3,0.5,245.01407,2304.0,3.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
4,0.62916666,245.01407,2304.0,4.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
5,0.5,245.01407,2304.0,5.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
6,0.5,245.01407,2304.0,6.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
7,0.5,245.01407,2304.0,7.0,1,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
8,0.5125,276.51617,2304.0,0.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
9,0.5625,276.51617,2304.0,1.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
10,0.50416666,276.51617,2304.0,2.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
11,0.50416666,276.51617,2304.0,3.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
12,0.5083333,276.51617,2304.0,4.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
13,0.5,276.51617,2304.0,5.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
14,0.5,276.51617,2304.0,6.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
15,0.5,276.51617,2304.0,7.0,2,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
16,0.725,267.86237,2304.0,0.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
17,0.5,267.86237,2304.0,1.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
18,0.5,267.86237,2304.0,2.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
19,0.51666665,267.86237,2304.0,3.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
20,0.6041667,267.86237,2304.0,4.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
21,0.48333332,267.86237,2304.0,5.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
22,0.675,267.86237,2304.0,6.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
23,0.5,267.86237,2304.0,7.0,3,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
24,0.6041667,253.2437,2304.0,0.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
25,0.5,253.2437,2304.0,1.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
26,0.62083334,253.2437,2304.0,2.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
27,0.5,253.2437,2304.0,3.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
28,0.54583335,253.2437,2304.0,4.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
29,0.5,253.2437,2304.0,5.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
30,0.59583336,253.2437,2304.0,6.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
31,0.5083333,253.2437,2304.0,7.0,4,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
32,0.5083333,261.95508,2304.0,0.0,5,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
33,0.5,261.95508,2304.0,1.0,5,session_E,22,2,BNCI2014-001,EEGNet|_EA-Frozen
