,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.4375,378.70407,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.85833335,393.0488,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.71666664,420.63034,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.5208333,434.67377,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.7375,457.4686,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.625,485.73178,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.8125,499.55447,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.65416664,519.35187,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.5375,507.6906,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.52916664,521.58075,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.49583334,535.7507,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.56666666,563.91724,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.4625,577.9751,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.4875,591.7098,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.62083334,621.5423,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.48333332,636.6332,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.825,428.59573,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.5208333,442.56277,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.85,456.73874,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.5375,483.9481,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
