,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.5416667,445.85522,2304.0,0.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
1,0.8375,445.85522,2304.0,1.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
2,0.7291667,445.85522,2304.0,2.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
3,0.5833333,445.85522,2304.0,3.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
4,0.6458333,445.85522,2304.0,4.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
5,0.6666667,445.85522,2304.0,5.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
6,0.8041667,445.85522,2304.0,6.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
7,0.53333336,445.85522,2304.0,7.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
8,0.475,393.45456,2304.0,0.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
9,0.50416666,393.45456,2304.0,1.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
10,0.45833334,393.45456,2304.0,2.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
11,0.5,393.45456,2304.0,3.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
12,0.51666665,393.45456,2304.0,4.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
13,0.44583333,393.45456,2304.0,5.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
14,0.575,393.45456,2304.0,6.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
15,0.5,393.45456,2304.0,7.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
16,0.875,399.61035,2304.0,0.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
17,0.48333332,399.61035,2304.0,1.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
18,0.8958333,399.61035,2304.0,2.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
19,0.5708333,399.61035,2304.0,3.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
20,0.7708333,399.61035,2304.0,4.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
21,0.8041667,399.61035,2304.0,5.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
22,0.9166667,399.61035,2304.0,6.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
23,0.78333336,399.61035,2304.0,7.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
24,0.6458333,442.38138,2304.0,0.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
25,0.5625,442.38138,2304.0,1.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
26,0.7083333,442.38138,2304.0,2.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
27,0.51666665,442.38138,2304.0,3.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
28,0.6375,442.38138,2304.0,4.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
