,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.64166665,202.61288,2304.0,0.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
1,0.87916666,219.13539,2304.0,1.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
2,0.78333336,230.51349,2304.0,2.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
3,0.5833333,239.83093,2304.0,3.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
4,0.825,252.69739,2304.0,4.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
5,0.8041667,263.74417,2304.0,5.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
6,0.8,269.92416,2304.0,6.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
7,0.8041667,283.6093,2304.0,7.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
8,0.575,184.47182,2304.0,0.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
9,0.50416666,193.23647,2304.0,1.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
10,0.5083333,201.12704,2304.0,2.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
11,0.5708333,212.83583,2304.0,3.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
12,0.49583334,219.92279,2304.0,4.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
13,0.4875,229.08142,2304.0,5.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
14,0.54583335,240.82068,2304.0,6.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
15,0.49583334,249.45564,2304.0,7.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
16,0.8958333,168.01987,2304.0,0.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
17,0.875,184.72472,2304.0,1.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
18,0.9458333,200.80373,2304.0,2.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
19,0.9291667,214.1784,2304.0,3.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
20,0.96666664,231.66632,2304.0,4.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
21,0.9625,241.93042,2304.0,5.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
22,0.95416665,256.47263,2304.0,6.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
23,0.95,271.06058,2304.0,7.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
24,0.725,181.28522,2304.0,0.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
25,0.50416666,189.24973,2304.0,1.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
26,0.73333335,204.99771,2304.0,2.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
27,0.625,216.29524,2304.0,3.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
28,0.6875,226.60254,2304.0,4.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
