,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.6458333,199.34908,2304.0,0.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
1,0.8208333,199.34908,2304.0,1.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
2,0.6875,199.34908,2304.0,2.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
3,0.5083333,199.34908,2304.0,3.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
4,0.575,199.34908,2304.0,4.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
5,0.65833336,199.34908,2304.0,5.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
6,0.8,199.34908,2304.0,6.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
7,0.5416667,199.34908,2304.0,7.0,1,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
8,0.53333336,199.3207,2304.0,0.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
9,0.5083333,199.3207,2304.0,1.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
10,0.5,199.3207,2304.0,2.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
11,0.50416666,199.3207,2304.0,3.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
12,0.53333336,199.3207,2304.0,4.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
13,0.4375,199.3207,2304.0,5.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
14,0.54583335,199.3207,2304.0,6.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
15,0.5,199.3207,2304.0,7.0,2,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
16,0.9125,200.17897,2304.0,0.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
17,0.475,200.17897,2304.0,1.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
18,0.72083336,200.17897,2304.0,2.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
19,0.5083333,200.17897,2304.0,3.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
20,0.9,200.17897,2304.0,4.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
21,0.6666667,200.17897,2304.0,5.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
22,0.8958333,200.17897,2304.0,6.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
23,0.84583336,200.17897,2304.0,7.0,3,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
24,0.62083334,189.60378,2304.0,0.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
25,0.5,189.60378,2304.0,1.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
26,0.72083336,189.60378,2304.0,2.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
27,0.49166667,189.60378,2304.0,3.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
28,0.67083335,189.60378,2304.0,4.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
29,0.6333333,189.60378,2304.0,5.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
30,0.7083333,189.60378,2304.0,6.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
31,0.60833335,189.60378,2304.0,7.0,4,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
32,0.6041667,202.10504,2304.0,0.0,5,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
33,0.5541667,202.10504,2304.0,1.0,5,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
34,0.59583336,202.10504,2304.0,2.0,5,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
35,0.5708333,202.10504,2304.0,3.0,5,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
36,0.5375,202.10504,2304.0,4.0,5,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
37,0.54583335,202.10504,2304.0,5.0,5,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
38,0.57916665,202.10504,2304.0,6.0,5,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
39,0.5125,202.10504,2304.0,7.0,5,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
40,0.67083335,213.8268,2304.0,0.0,6,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
41,0.49166667,213.8268,2304.0,1.0,6,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
42,0.6625,213.8268,2304.0,2.0,6,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
43,0.62916666,213.8268,2304.0,3.0,6,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
44,0.49583334,213.8268,2304.0,4.0,6,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
45,0.5833333,213.8268,2304.0,5.0,6,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
46,0.6375,213.8268,2304.0,6.0,6,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
47,0.59583336,213.8268,2304.0,7.0,6,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
48,0.6458333,192.79436,2304.0,0.0,7,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
49,0.49166667,192.79436,2304.0,1.0,7,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
50,0.60833335,192.79436,2304.0,2.0,7,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
51,0.59583336,192.79436,2304.0,3.0,7,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
52,0.5083333,192.79436,2304.0,4.0,7,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
53,0.50416666,192.79436,2304.0,5.0,7,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
54,0.54583335,192.79436,2304.0,6.0,7,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
55,0.575,192.79436,2304.0,7.0,7,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
56,0.7625,197.48582,2304.0,0.0,8,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
57,0.44166666,197.48582,2304.0,1.0,8,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
58,0.85833335,197.48582,2304.0,2.0,8,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
59,0.77916664,197.48582,2304.0,3.0,8,both,22,2,BNCI2014-001,EEGNet|_EA-Frozen
