,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.64166665,1990.191,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.8875,2125.7695,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.8541667,2226.094,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.5541667,2258.189,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.6125,2287.979,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.82916665,2395.2742,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.85,2431.8433,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.8541667,2565.5288,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.5833333,1577.7103,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.5416667,1631.3737,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.475,1664.325,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.53333336,1697.901,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.5416667,1747.5851,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.44583333,1780.183,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.62083334,1826.4026,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.47916666,1872.4252,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.95416665,1480.9446,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.9458333,1540.3302,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.95416665,1651.1483,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.95416665,1813.8187,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.9,1877.687,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.95416665,1966.1976,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.95416665,2118.796,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.95416665,2194.4985,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.64166665,2429.3152,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.48333332,2458.023,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
26,0.6791667,2489.5361,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
27,0.50416666,2517.3777,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
28,0.53333336,2546.8142,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
29,0.64166665,2669.4788,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
30,0.67083335,2700.6567,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
31,0.6375,2737.2632,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
32,0.5083333,2465.9417,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
33,0.5083333,2509.8838,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
34,0.50416666,2570.184,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
35,0.52916664,2603.777,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
36,0.56666666,2635.1667,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
37,0.5375,2690.0454,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
38,0.54583335,2721.1755,2304.0,6.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
39,0.51666665,2755.746,2304.0,7.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
40,0.69166666,1883.8694,2304.0,0.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
41,0.4875,1915.4963,2304.0,1.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
42,0.65,1945.8623,2304.0,2.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
43,0.56666666,1991.2812,2304.0,3.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
44,0.675,2151.6267,2304.0,4.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
45,0.6458333,2334.5745,2304.0,5.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
46,0.675,2417.6846,2304.0,6.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
47,0.6458333,2482.3086,2304.0,7.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
48,0.6375,2300.9182,2304.0,0.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
49,0.5125,2336.5232,2304.0,1.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
50,0.6125,2375.9465,2304.0,2.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
51,0.59583336,2409.4216,2304.0,3.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
52,0.59583336,2442.2227,2304.0,4.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
53,0.5833333,2474.798,2304.0,5.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
54,0.55,2507.5134,2304.0,6.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
55,0.6666667,2568.852,2304.0,7.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
56,0.9458333,2283.75,2304.0,0.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
57,0.925,2429.4185,2304.0,1.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
58,0.9125,2509.1648,2304.0,2.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
59,0.95,2597.8855,2304.0,3.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
60,0.9125,2704.1877,2304.0,4.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
