,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.8,1734.4626,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.87083334,1846.8036,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.75,1980.6602,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.75,2088.9495,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.8208333,2220.7937,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.7,2321.1826,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.8333333,2414.1733,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.8625,2521.721,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.5208333,1453.0907,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.5375,1519.4446,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.54583335,1588.9906,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.51666665,1641.7886,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.5541667,1699.9141,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.47083333,1783.2477,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.49166667,1856.4805,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.5875,1942.0332,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.9375,1481.301,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.89166665,1583.0627,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.95,1687.6007,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.92083335,1789.3401,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.90416664,1892.4644,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.92083335,1999.8817,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.90416664,2104.8533,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.9166667,2198.1543,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.6041667,1455.0112,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.5541667,1557.371,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
26,0.6666667,1663.6393,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
27,0.6041667,1761.578,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
28,0.6333333,1852.7031,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
29,0.6958333,1954.6553,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
30,0.68333334,2056.6897,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
31,0.62083334,2154.106,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
32,0.5708333,1445.7297,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
33,0.675,1515.1786,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
34,0.7708333,1617.577,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
35,0.6041667,1718.7585,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
36,0.5541667,1787.9167,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
37,0.7625,1867.2906,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
38,0.5375,1962.7728,2304.0,6.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
39,0.55,2083.0034,2304.0,7.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
40,0.67083335,1462.7515,2304.0,0.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
41,0.6333333,1558.9576,2304.0,1.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
42,0.6375,1652.8685,2304.0,2.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
43,0.6458333,1742.1605,2304.0,3.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
44,0.62916666,1840.7721,2304.0,4.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
45,0.59583336,1936.8964,2304.0,5.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
46,0.625,2030.0828,2304.0,6.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
47,0.625,2135.8567,2304.0,7.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
48,0.74583334,1444.3824,2304.0,0.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
49,0.6666667,1546.1633,2304.0,1.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
50,0.7,1620.8452,2304.0,2.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
51,0.6375,1722.9905,2304.0,3.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
52,0.7375,1829.8889,2304.0,4.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
53,0.7083333,1912.4833,2304.0,5.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
54,0.5833333,2028.6492,2304.0,6.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
55,0.6875,2157.5417,2304.0,7.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
56,0.9583333,1428.5988,2304.0,0.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
57,0.92083335,1534.394,2304.0,1.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
58,0.94166666,1640.7874,2304.0,2.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
59,0.94166666,1747.6848,2304.0,3.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
60,0.9125,1859.2554,2304.0,4.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
61,0.9291667,1980.333,2304.0,5.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
62,0.9291667,2137.125,2304.0,6.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
63,0.975,2281.2117,2304.0,7.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
64,0.7583333,1425.3813,2304.0,0.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
65,0.7708333,1545.4254,2304.0,1.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
66,0.78333336,1637.9382,2304.0,2.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
67,0.79583335,1735.0653,2304.0,3.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
68,0.70416665,1842.6567,2304.0,4.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
69,0.7291667,1926.2164,2304.0,5.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
70,0.8208333,2021.8567,2304.0,6.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
71,0.75,2115.1978,2304.0,7.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
