,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.8333333,1782.9971,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.8625,1834.6016,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.8625,1902.9017,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.84166664,1954.9025,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.7583333,1995.37,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.74583334,2031.9752,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.87083334,2092.4685,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.8041667,2145.8052,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.55,1464.2374,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.5375,1509.8302,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.5208333,1543.0844,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.5375,1579.8876,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.55,1622.2961,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.49166667,1665.1494,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.53333336,1718.2621,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.5,1756.887,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.9625,1851.779,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.9125,1958.2971,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.9625,2032.3531,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.925,2092.9192,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.96666664,2151.9246,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.96666664,2261.672,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.9458333,2299.212,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.9625,2343.3635,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.7291667,1571.6228,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.6375,1631.6154,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
26,0.6958333,1669.5743,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
27,0.62916666,1733.444,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
28,0.6875,1781.1187,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
29,0.625,1816.45,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
30,0.69166666,1862.8997,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
31,0.6625,1927.3488,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
32,0.525,1318.3834,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
33,0.50416666,1368.1743,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
34,0.7083333,1457.6945,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
35,0.5541667,1502.1632,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
36,0.525,1535.1895,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
37,0.5125,1579.0833,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
38,0.5083333,1667.0476,2304.0,6.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
39,0.52916664,1700.5509,2304.0,7.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
40,0.59166664,1643.1454,2304.0,0.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
41,0.65,1749.5935,2304.0,1.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
42,0.65,1827.6797,2304.0,2.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
43,0.7083333,1923.7327,2304.0,3.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
44,0.5208333,1965.2777,2304.0,4.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
45,0.64166665,2115.646,2304.0,5.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
46,0.6791667,2175.7578,2304.0,6.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
47,0.65,2236.596,2304.0,7.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
48,0.70416665,1762.6653,2304.0,0.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
49,0.6333333,1916.965,2304.0,1.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
50,0.7625,1957.0889,2304.0,2.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
51,0.575,1989.6337,2304.0,3.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
52,0.75,2073.7893,2304.0,4.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
53,0.5833333,2106.2832,2304.0,5.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
54,0.6458333,2187.6062,2304.0,6.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
55,0.62916666,2222.9224,2304.0,7.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
56,0.9625,1524.9452,2304.0,0.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
57,0.95,1661.1641,2304.0,1.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
58,0.95,1771.6567,2304.0,2.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
59,0.97083336,1841.565,2304.0,3.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
60,0.9166667,1910.611,2304.0,4.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
61,0.975,2051.712,2304.0,5.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
62,0.90833336,2175.2747,2304.0,6.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
63,0.9375,2230.1626,2304.0,7.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
64,0.78333336,1618.9119,2304.0,0.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
65,0.82916665,1721.9012,2304.0,1.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
66,0.87083334,1836.7043,2304.0,2.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
67,0.8875,1945.0884,2304.0,3.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
68,0.82916665,2020.7463,2304.0,4.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
69,0.84583336,2062.631,2304.0,5.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
70,0.875,2106.2532,2304.0,6.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
71,0.82916665,2138.5164,2304.0,7.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
