,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.64166665,1155.5781,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.8875,1244.1538,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.8541667,1306.512,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.5541667,1324.7683,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.6125,1342.789,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.82916665,1408.384,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.85,1431.1847,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.8541667,1519.299,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.5833333,963.59143,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.5416667,998.03314,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.475,1017.8949,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.53333336,1037.8605,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.5416667,1069.3124,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.44583333,1089.2698,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.62083334,1117.5001,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.47916666,1143.162,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.95416665,878.10583,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.9458333,918.4355,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.95416665,993.84,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.95416665,1106.6119,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.9,1155.0325,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.95416665,1206.7341,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.95416665,1304.3232,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.95416665,1352.9832,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.64166665,1429.3964,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.48333332,1447.2797,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
26,0.6791667,1465.5519,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
27,0.50416666,1483.7257,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
28,0.53333336,1501.633,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
29,0.64166665,1574.0289,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
30,0.67083335,1593.1,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
31,0.6375,1615.5847,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
32,0.5083333,1467.3331,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
33,0.5083333,1498.1179,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
34,0.50416666,1538.1626,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
35,0.52916664,1560.7441,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
36,0.56666666,1581.8634,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
37,0.5375,1619.9417,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
