,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.8333333,1046.4424,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.8625,1079.3533,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.8625,1124.6364,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.84166664,1158.4746,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.7583333,1185.2318,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.74583334,1209.2609,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.87083334,1250.0044,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.8041667,1284.1228,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.55,879.6216,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.5375,908.5351,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.5208333,929.2526,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.5375,953.6592,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.55,980.16034,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.49166667,1006.42444,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.53333336,1039.6323,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.5,1064.5137,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.9625,1072.4633,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.9125,1141.5565,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.9625,1191.829,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.925,1230.6594,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.96666664,1264.4506,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.96666664,1323.9215,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.9458333,1347.0571,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.9625,1373.6863,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.7291667,989.02905,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.6375,1026.7981,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
26,0.6958333,1050.5813,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
27,0.62916666,1091.429,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
28,0.6875,1121.009,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
29,0.625,1143.1276,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
30,0.69166666,1172.6317,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
31,0.6625,1213.3693,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
32,0.525,763.7541,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
33,0.50416666,801.7696,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
34,0.7083333,862.2702,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
35,0.5541667,890.00977,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
36,0.525,910.2565,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
37,0.5125,940.6409,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
38,0.5083333,994.4971,2304.0,6.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
39,0.52916664,1016.64923,2304.0,7.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
40,0.59166664,902.03033,2304.0,0.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
41,0.65,971.2785,2304.0,1.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
42,0.65,1020.4466,2304.0,2.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
43,0.7083333,1084.1332,2304.0,3.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
44,0.5208333,1111.1893,2304.0,4.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
45,0.64166665,1205.0613,2304.0,5.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
46,0.6791667,1244.0249,2304.0,6.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
47,0.65,1284.5503,2304.0,7.0,6,session_E,22,2,001-2014,EEGNet|_EA-Frozen
48,0.70416665,987.39545,2304.0,0.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
49,0.6333333,1089.0154,2304.0,1.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
50,0.7625,1115.2285,2304.0,2.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
51,0.575,1135.2843,2304.0,3.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
52,0.75,1193.6346,2304.0,4.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
53,0.5833333,1217.2556,2304.0,5.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
54,0.6458333,1277.2329,2304.0,6.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
55,0.62916666,1301.4366,2304.0,7.0,7,session_E,22,2,001-2014,EEGNet|_EA-Frozen
56,0.9625,870.2854,2304.0,0.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
57,0.95,962.2881,2304.0,1.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
58,0.95,1034.5587,2304.0,2.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
59,0.97083336,1079.2358,2304.0,3.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
60,0.9166667,1126.001,2304.0,4.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
61,0.975,1217.5481,2304.0,5.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
62,0.90833336,1293.5347,2304.0,6.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
63,0.9375,1327.3726,2304.0,7.0,8,session_E,22,2,001-2014,EEGNet|_EA-Frozen
64,0.78333336,897.2344,2304.0,0.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
65,0.82916665,964.68726,2304.0,1.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
66,0.87083334,1037.4801,2304.0,2.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
67,0.8875,1108.0487,2304.0,3.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
68,0.82916665,1156.0872,2304.0,4.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
69,0.84583336,1182.6772,2304.0,5.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
70,0.875,1210.2537,2304.0,6.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
71,0.82916665,1231.5912,2304.0,7.0,9,session_E,22,2,001-2014,EEGNet|_EA-Frozen
