,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.64166665,1144.5953,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
1,0.8875,1232.556,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
2,0.8541667,1292.1428,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
3,0.5541667,1308.9626,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
4,0.6125,1326.1971,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
5,0.82916665,1389.3094,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
6,0.85,1409.8981,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
7,0.8541667,1498.5995,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Frozen
8,0.5833333,955.2661,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
9,0.5416667,990.1447,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
10,0.475,1011.392,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
11,0.53333336,1032.5134,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
12,0.5416667,1065.1589,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
13,0.44583333,1086.3146,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
14,0.62083334,1113.4257,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
15,0.47916666,1138.1212,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Frozen
16,0.95416665,870.08185,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
17,0.9458333,908.8113,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
18,0.95416665,982.3284,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
19,0.95416665,1092.7573,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
20,0.9,1136.0894,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
21,0.95416665,1186.394,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
22,0.95416665,1279.963,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
23,0.95416665,1326.4462,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Frozen
24,0.64166665,1395.543,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
25,0.48333332,1413.8995,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
26,0.6791667,1432.8273,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
27,0.50416666,1450.4376,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
28,0.53333336,1468.9288,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
29,0.64166665,1544.0624,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
30,0.67083335,1563.6543,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
31,0.6375,1586.2234,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_EA-Frozen
32,0.5083333,1450.5542,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
33,0.5083333,1480.1085,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
34,0.50416666,1519.4489,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
35,0.52916664,1541.4587,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
36,0.56666666,1562.111,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_EA-Frozen
