,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.4375,586.5986,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
1,0.85833335,602.0988,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
2,0.71666664,634.28735,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
3,0.5208333,649.35345,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
4,0.7375,676.2093,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
5,0.625,709.08215,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
6,0.8125,724.3982,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
7,0.65416664,745.37415,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
8,0.5208333,661.75964,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
9,0.55833334,682.032,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
10,0.5083333,701.99426,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
11,0.59166664,751.24994,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
12,0.45833334,771.23193,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
13,0.46666667,791.6721,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
14,0.59583336,813.6794,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
15,0.5083333,833.7475,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
16,0.84166664,537.7195,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
17,0.59583336,557.66724,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
18,0.8,577.88794,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
19,0.6,631.8044,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
20,0.80833334,651.86255,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
21,0.71666664,673.5323,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
22,0.8625,699.04004,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
23,0.8625,719.593,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
24,0.73333335,626.2552,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
25,0.4875,661.3741,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
26,0.6666667,679.4325,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
27,0.46666667,700.11316,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
28,0.62083334,732.66315,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
29,0.6,764.5083,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
30,0.6875,796.9922,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
31,0.5708333,402.139,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
32,0.45416668,416.7011,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
33,0.56666666,430.1018,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
34,0.6041667,443.75565,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
35,0.5375,458.87537,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
36,0.55,472.51135,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
37,0.54583335,486.72223,2304.0,6.0,5,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
38,0.525,501.16272,2304.0,7.0,5,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
39,0.5625,392.60358,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
40,0.8875,427.93585,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
41,0.8625,453.53894,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
42,0.5875,469.16245,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
43,0.82916665,486.8149,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
44,0.75416666,538.1097,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
45,0.87916666,555.0856,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
46,0.78333336,575.73065,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
47,0.59583336,444.25513,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
48,0.49583334,459.79938,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
49,0.525,474.8074,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
50,0.6125,500.26242,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
51,0.45833334,515.3109,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
52,0.55,532.1664,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
53,0.6125,546.85583,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
54,0.47083333,563.11163,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
55,0.95,435.75665,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
56,0.8958333,468.20383,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
57,0.9375,507.2971,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
58,0.78333336,522.3996,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
59,0.9458333,566.5688,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
60,0.9291667,590.7639,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
61,0.93333334,626.7318,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
62,0.96666664,672.39685,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
63,0.75,424.2837,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
64,0.6333333,440.18393,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
65,0.6791667,457.34253,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
66,0.6333333,501.43784,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
67,0.71666664,518.02026,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
68,0.6625,534.634,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
69,0.6666667,564.2989,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
70,0.67083335,593.11926,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
71,0.65833336,463.98355,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_EA-Not_Frozen
