,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.49583334,314.33374,2304.0,0.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
1,0.8208333,314.33374,2304.0,1.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
2,0.68333334,314.33374,2304.0,2.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
3,0.6333333,314.33374,2304.0,3.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
4,0.59166664,314.33374,2304.0,4.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
5,0.54583335,314.33374,2304.0,5.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
6,0.6125,314.33374,2304.0,6.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
7,0.52916664,314.33374,2304.0,7.0,1,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
8,0.5208333,247.51733,2304.0,0.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
9,0.62083334,247.51733,2304.0,1.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
10,0.5083333,247.51733,2304.0,2.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
11,0.52916664,247.51733,2304.0,3.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
12,0.49583334,247.51733,2304.0,4.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
13,0.5125,247.51733,2304.0,5.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
14,0.52916664,247.51733,2304.0,6.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
15,0.5,247.51733,2304.0,7.0,2,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
16,0.7291667,299.82864,2304.0,0.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
17,0.49583334,299.82864,2304.0,1.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
18,0.65833336,299.82864,2304.0,2.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
19,0.8,299.82864,2304.0,3.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
20,0.6,299.82864,2304.0,4.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
21,0.55,299.82864,2304.0,5.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
22,0.79583335,299.82864,2304.0,6.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
23,0.52916664,299.82864,2304.0,7.0,3,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
24,0.6166667,320.9663,2304.0,0.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
25,0.51666665,320.9663,2304.0,1.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
26,0.5708333,320.9663,2304.0,2.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
27,0.5,320.9663,2304.0,3.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
28,0.54583335,320.9663,2304.0,4.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
29,0.59166664,320.9663,2304.0,5.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
30,0.65,320.9663,2304.0,6.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
31,0.51666665,320.9663,2304.0,7.0,4,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
32,0.5,251.49509,2304.0,0.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
33,0.5125,251.49509,2304.0,1.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
34,0.5375,251.49509,2304.0,2.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
35,0.5,251.49509,2304.0,3.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
36,0.50416666,251.49509,2304.0,4.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
37,0.5,251.49509,2304.0,5.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
38,0.5,251.49509,2304.0,6.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
39,0.5,251.49509,2304.0,7.0,5,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
40,0.6958333,341.63184,2304.0,0.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
41,0.5125,341.63184,2304.0,1.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
42,0.59583336,341.63184,2304.0,2.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
43,0.6333333,341.63184,2304.0,3.0,6,both,22,2,BNCI2014-001,AttentionBaseNet|_Without_EA-Frozen
