,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.50416666,76.160065,2304.0,0.0,1,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
1,0.65833336,76.160065,2304.0,1.0,1,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
2,0.625,76.160065,2304.0,2.0,1,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
3,0.54583335,76.160065,2304.0,3.0,1,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
4,0.53333336,76.160065,2304.0,4.0,1,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
5,0.51666665,76.160065,2304.0,5.0,1,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
6,0.55833334,76.160065,2304.0,6.0,1,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
7,0.5,76.160065,2304.0,7.0,1,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
8,0.5416667,42.015266,2304.0,0.0,2,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
9,0.49166667,42.015266,2304.0,1.0,2,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
10,0.5,42.015266,2304.0,2.0,2,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
11,0.5125,42.015266,2304.0,3.0,2,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
12,0.50416666,42.015266,2304.0,4.0,2,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
13,0.50416666,42.015266,2304.0,5.0,2,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
14,0.50416666,42.015266,2304.0,6.0,2,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
15,0.5,42.015266,2304.0,7.0,2,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
16,0.85,39.540737,2304.0,0.0,3,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
17,0.49166667,39.540737,2304.0,1.0,3,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
18,0.69166666,39.540737,2304.0,2.0,3,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
19,0.5125,39.540737,2304.0,3.0,3,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
20,0.65833336,39.540737,2304.0,4.0,3,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
21,0.575,39.540737,2304.0,5.0,3,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
22,0.8333333,39.540737,2304.0,6.0,3,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
23,0.5416667,39.540737,2304.0,7.0,3,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
24,0.62083334,43.3333,2304.0,0.0,4,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
25,0.4875,43.3333,2304.0,1.0,4,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
26,0.6666667,43.3333,2304.0,2.0,4,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
27,0.46666667,43.3333,2304.0,3.0,4,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
28,0.5208333,43.3333,2304.0,4.0,4,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
29,0.54583335,43.3333,2304.0,5.0,4,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
30,0.5833333,43.3333,2304.0,6.0,4,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
31,0.5,43.3333,2304.0,7.0,4,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
32,0.5625,73.90158,2304.0,0.0,5,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
33,0.47916666,73.90158,2304.0,1.0,5,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
34,0.5,73.90158,2304.0,2.0,5,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
35,0.49583334,73.90158,2304.0,3.0,5,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
36,0.50416666,73.90158,2304.0,4.0,5,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
37,0.49166667,73.90158,2304.0,5.0,5,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
38,0.5,73.90158,2304.0,6.0,5,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
39,0.5,73.90158,2304.0,7.0,5,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
40,0.5125,59.171177,2304.0,0.0,6,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
41,0.50416666,59.171177,2304.0,1.0,6,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
42,0.6166667,59.171177,2304.0,2.0,6,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
43,0.55833334,59.171177,2304.0,3.0,6,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
44,0.49166667,59.171177,2304.0,4.0,6,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
45,0.5083333,59.171177,2304.0,5.0,6,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
46,0.62083334,59.171177,2304.0,6.0,6,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
47,0.57916665,59.171177,2304.0,7.0,6,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
48,0.5375,49.592754,2304.0,0.0,7,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
49,0.4875,49.592754,2304.0,1.0,7,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
50,0.5541667,49.592754,2304.0,2.0,7,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
51,0.5083333,49.592754,2304.0,3.0,7,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
52,0.5,49.592754,2304.0,4.0,7,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
53,0.5416667,49.592754,2304.0,5.0,7,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
54,0.49583334,49.592754,2304.0,6.0,7,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
55,0.5,49.592754,2304.0,7.0,7,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
56,0.8333333,56.916172,2304.0,0.0,8,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
57,0.5,56.916172,2304.0,1.0,8,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
58,0.7291667,56.916172,2304.0,2.0,8,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
59,0.7,56.916172,2304.0,3.0,8,both,22,2,BNCI2014-001,CTNet|_Without_EA-Frozen
