,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.5375,102.76771,2304.0,0.0,1,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
1,0.5375,112.28965,2304.0,1.0,1,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
2,0.49583334,119.82688,2304.0,2.0,1,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
3,0.49166667,127.369354,2304.0,3.0,1,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
4,0.5,134.95343,2304.0,4.0,1,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
5,0.49166667,142.47128,2304.0,5.0,1,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
6,0.49166667,152.11421,2304.0,6.0,1,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
7,0.5708333,167.62083,2304.0,7.0,1,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
8,0.51666665,94.05777,2304.0,0.0,2,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
9,0.49166667,107.477104,2304.0,1.0,2,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
10,0.4875,118.899704,2304.0,2.0,2,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
11,0.5,130.38031,2304.0,3.0,2,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
12,0.5083333,139.84772,2304.0,4.0,2,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
13,0.5,149.83888,2304.0,5.0,2,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
14,0.49166667,158.68425,2304.0,6.0,2,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
15,0.49166667,168.2609,2304.0,7.0,2,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
16,0.70416665,99.23458,2304.0,0.0,3,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
17,0.65416664,115.04491,2304.0,1.0,3,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
18,0.7083333,129.35374,2304.0,2.0,3,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
19,0.6,142.18236,2304.0,3.0,3,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
20,0.6875,157.51266,2304.0,4.0,3,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
21,0.675,174.65407,2304.0,5.0,3,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
22,0.65416664,187.4884,2304.0,6.0,3,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
23,0.75,201.09724,2304.0,7.0,3,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
24,0.55,94.857285,2304.0,0.0,4,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
25,0.5875,104.78204,2304.0,1.0,4,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
26,0.5875,111.95842,2304.0,2.0,4,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
27,0.47083333,119.56705,2304.0,3.0,4,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
28,0.5,127.38929,2304.0,4.0,4,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
29,0.50416666,135.53287,2304.0,5.0,4,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
30,0.5375,142.61636,2304.0,6.0,4,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
31,0.53333336,160.0491,2304.0,7.0,4,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
32,0.525,123.50876,2304.0,0.0,5,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
33,0.49583334,129.8833,2304.0,1.0,5,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
34,0.5,139.72023,2304.0,2.0,5,both,22,2,BNCI2014-001,EEGNeX|_Without_EA-Frozen
