,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.8375,1107.3383,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
1,0.8208333,1185.9138,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
2,0.8375,1265.1246,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
3,0.8333333,1351.9498,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
4,0.8625,1432.473,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
5,0.81666666,1514.2621,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
6,0.8208333,1584.676,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
7,0.8041667,1659.374,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
8,0.5416667,1122.7795,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
9,0.575,1193.0055,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
10,0.5875,1262.0352,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
11,0.57916665,1317.7395,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
12,0.55833334,1405.6405,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
13,0.575,1472.962,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
14,0.54583335,1546.9075,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
15,0.5625,1610.3079,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
16,0.9458333,1154.7977,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
17,0.92083335,1244.5295,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
18,0.9125,1328.288,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
19,0.90416664,1416.8304,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
20,0.9166667,1504.7308,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
21,0.9291667,1589.791,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
22,0.8958333,1674.4941,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
23,0.89166665,1763.8834,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
24,0.625,1147.1465,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
25,0.72083336,1245.084,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
26,0.675,1316.6708,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
27,0.65,1377.3213,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
28,0.67083335,1448.5526,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
29,0.6458333,1524.6909,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
30,0.6458333,1601.5656,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
31,0.64166665,1686.1516,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
32,0.7583333,1123.4186,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
33,0.6375,1205.3566,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
34,0.5833333,1285.527,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
35,0.5125,1360.3419,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
36,0.69166666,1441.8945,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
37,0.75416666,1518.5889,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
38,0.6375,1593.3451,2304.0,6.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
39,0.73333335,1674.6335,2304.0,7.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
40,0.6166667,1090.3137,2304.0,0.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
