,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.8208333,2119.2764,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
1,0.7916667,2139.9985,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
2,0.7875,2159.7869,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
3,0.80833334,2188.5862,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
4,0.7291667,2205.039,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
5,0.8333333,2223.933,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
6,0.8333333,2253.7913,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
7,0.6333333,2271.8152,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
8,0.525,2131.9846,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
9,0.51666665,2147.7869,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
10,0.52916664,2163.702,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
11,0.5875,2190.3564,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
12,0.5208333,2203.108,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
13,0.5125,2215.9988,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
14,0.5375,2229.1877,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
15,0.5,2241.8767,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
16,0.9291667,2243.6472,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
17,0.8833333,2282.6943,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
18,0.93333334,2318.0244,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
19,0.90416664,2356.8179,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
20,0.8,2393.851,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
21,0.9625,2450.589,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
22,0.97083336,2486.4668,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
23,0.94166666,2517.7825,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
24,0.6375,3999.7078,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
25,0.6,4074.563,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
26,0.5708333,4105.887,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
27,0.6625,4139.132,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
28,0.62083334,4200.3506,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
29,0.65416664,4241.127,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
30,0.65,4284.4277,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
31,0.68333334,4346.608,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
32,0.55,3781.9727,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
33,0.52916664,3801.6526,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
34,0.5875,3830.0479,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
35,0.5625,3860.3267,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
36,0.55833334,3880.7988,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
37,0.4875,3919.4478,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
38,0.5,3937.171,2304.0,6.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
39,0.5,3955.7786,2304.0,7.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
40,0.60833335,3008.6665,2304.0,0.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
41,0.56666666,3052.1348,2304.0,1.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
42,0.6458333,3106.558,2304.0,2.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
43,0.65,3166.1023,2304.0,3.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
44,0.5416667,3211.0305,2304.0,4.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
45,0.6166667,3253.7258,2304.0,5.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
46,0.675,3295.7007,2304.0,6.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
47,0.6125,3338.884,2304.0,7.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
