,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.75416666,1818.5457,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
1,0.8125,1862.2614,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
2,0.7375,1909.3174,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
3,0.8208333,1972.1659,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
4,0.78333336,2013.8777,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
5,0.7625,2058.7468,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
6,0.8125,2110.7778,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
7,0.77916664,2203.711,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
8,0.5708333,1637.609,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
9,0.49583334,1672.57,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
10,0.4875,1710.1309,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
11,0.5625,1762.7461,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
12,0.5083333,1799.3463,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
13,0.52916664,1836.4204,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
14,0.62916666,1915.3962,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
15,0.525,1946.4631,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
16,0.95416665,1432.5225,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
17,0.9,1512.2438,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
18,0.90416664,1610.2938,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
19,0.9291667,1646.5604,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
20,0.94166666,1681.2355,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
21,0.9125,1712.4167,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
22,0.96666664,1768.7391,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
23,0.9625,1809.1523,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
24,0.70416665,1750.9031,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
25,0.5708333,1777.7432,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
26,0.6041667,1816.4448,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
27,0.625,1957.2557,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
28,0.57916665,2020.0295,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
29,0.65833336,2080.202,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
30,0.60833335,2149.1316,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
31,0.6333333,2226.29,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
32,0.50416666,1272.5487,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
33,0.59166664,1308.8108,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
34,0.5125,1346.1293,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
35,0.5833333,1382.9014,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
36,0.50416666,1418.7747,2304.0,4.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
37,0.49166667,1460.4015,2304.0,5.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
38,0.51666665,1500.8783,2304.0,6.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
39,0.50416666,1542.0713,2304.0,7.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
40,0.6666667,1511.6777,2304.0,0.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
41,0.57916665,1563.2236,2304.0,1.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
42,0.625,1659.154,2304.0,2.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
43,0.57916665,1735.8013,2304.0,3.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
44,0.59583336,1809.0093,2304.0,4.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
45,0.5625,1875.8286,2304.0,5.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
46,0.5833333,1971.0284,2304.0,6.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
47,0.5625,2013.031,2304.0,7.0,6,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
48,0.5833333,1658.7006,2304.0,0.0,7,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
49,0.5375,1694.8345,2304.0,1.0,7,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
50,0.64166665,1763.9379,2304.0,2.0,7,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
51,0.55,1800.2937,2304.0,3.0,7,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
52,0.50416666,1838.2623,2304.0,4.0,7,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
53,0.4875,1873.5629,2304.0,5.0,7,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
54,0.6125,1914.6609,2304.0,6.0,7,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
55,0.65833336,1967.4535,2304.0,7.0,7,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
56,0.9125,1173.4401,2304.0,0.0,8,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
57,0.95,1209.7174,2304.0,1.0,8,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
58,0.9375,1242.6151,2304.0,2.0,8,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
59,0.9625,1279.5815,2304.0,3.0,8,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
60,0.95,1317.641,2304.0,4.0,8,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
61,0.925,1346.7468,2304.0,5.0,8,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
62,0.9125,1395.6534,2304.0,6.0,8,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
63,0.9291667,1457.7068,2304.0,7.0,8,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
64,0.8875,995.6961,2304.0,0.0,9,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
65,0.87083334,1037.5547,2304.0,1.0,9,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
66,0.9375,1077.7012,2304.0,2.0,9,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
67,0.875,1099.2472,2304.0,3.0,9,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
68,0.8875,1142.4535,2304.0,4.0,9,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
69,0.92083335,1173.9309,2304.0,5.0,9,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
70,0.85,1194.0764,2304.0,6.0,9,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
71,0.8333333,1209.9081,2304.0,7.0,9,session_E,22,2,001-2014,EEGNet|_Without_EA-Frozen
