,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.6791667,232.00029,2304.0,0.0,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
1,0.8375,243.71112,2304.0,1.0,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
2,0.80833334,256.16882,2304.0,2.0,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
3,0.7416667,267.18518,2304.0,3.0,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
4,0.7583333,274.27817,2304.0,4.0,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
5,0.7625,284.59064,2304.0,5.0,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
6,0.82916665,296.7098,2304.0,6.0,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
7,0.80833334,308.73093,2304.0,7.0,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
8,0.5208333,211.20015,2304.0,0.0,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
9,0.575,217.7195,2304.0,1.0,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
10,0.5708333,228.23235,2304.0,2.0,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
11,0.50416666,235.16592,2304.0,3.0,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
12,0.525,242.3547,2304.0,4.0,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
13,0.53333336,251.01729,2304.0,5.0,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
14,0.5875,257.47446,2304.0,6.0,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
15,0.50416666,264.1649,2304.0,7.0,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
16,0.94166666,181.43988,2304.0,0.0,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
17,0.85833335,190.17735,2304.0,1.0,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
18,0.89166665,202.00357,2304.0,2.0,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
19,0.8958333,215.79083,2304.0,3.0,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
20,0.9458333,229.23128,2304.0,4.0,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
21,0.9291667,239.92404,2304.0,5.0,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
22,0.95,251.73097,2304.0,6.0,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
23,0.9291667,264.56958,2304.0,7.0,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
24,0.6666667,251.12462,2304.0,0.0,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
25,0.65,259.72473,2304.0,1.0,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
26,0.5833333,266.74805,2304.0,2.0,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
27,0.6375,281.07224,2304.0,3.0,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
28,0.64166665,293.59372,2304.0,4.0,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
29,0.6791667,306.69812,2304.0,5.0,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
30,0.625,320.51535,2304.0,6.0,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
31,0.64166665,334.93936,2304.0,7.0,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
32,0.5708333,203.53828,2304.0,0.0,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
33,0.6041667,210.74069,2304.0,1.0,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
34,0.53333336,217.9557,2304.0,2.0,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
35,0.5375,225.12996,2304.0,3.0,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
36,0.5125,232.23056,2304.0,4.0,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
37,0.5,239.32779,2304.0,5.0,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
38,0.49166667,247.18631,2304.0,6.0,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
39,0.5,254.00496,2304.0,7.0,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
40,0.6166667,248.72462,2304.0,0.0,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
41,0.625,263.50696,2304.0,1.0,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
42,0.6125,271.65454,2304.0,2.0,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
43,0.6041667,281.71045,2304.0,3.0,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
44,0.67083335,297.31284,2304.0,4.0,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
45,0.55833334,309.91992,2304.0,5.0,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
46,0.57916665,322.1184,2304.0,6.0,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
47,0.64166665,331.5617,2304.0,7.0,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
48,0.5375,224.00043,2304.0,0.0,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
49,0.51666665,232.15125,2304.0,1.0,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
50,0.54583335,238.76984,2304.0,2.0,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
51,0.6333333,245.03879,2304.0,3.0,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
52,0.5708333,257.59354,2304.0,4.0,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
53,0.6625,267.59503,2304.0,5.0,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
54,0.60833335,277.04947,2304.0,6.0,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
55,0.6625,287.9563,2304.0,7.0,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
56,0.9166667,242.5577,2304.0,0.0,8,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
57,0.95,252.50638,2304.0,1.0,8,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
58,0.9375,260.55557,2304.0,2.0,8,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
59,0.9291667,271.56683,2304.0,3.0,8,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
60,0.95,284.43964,2304.0,4.0,8,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
61,0.94166666,297.80875,2304.0,5.0,8,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
62,0.95416665,310.71835,2304.0,6.0,8,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
63,0.9458333,325.19543,2304.0,7.0,8,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
64,0.8125,185.72237,2304.0,0.0,9,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
65,0.6958333,194.73938,2304.0,1.0,9,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
66,0.81666666,208.52551,2304.0,2.0,9,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
67,0.85,222.42143,2304.0,3.0,9,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
68,0.8541667,235.04219,2304.0,4.0,9,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
69,0.825,246.0882,2304.0,5.0,9,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
