,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.5,520.0142,2304.0,0.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
1,0.85,520.0142,2304.0,1.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
2,0.70416665,520.0142,2304.0,2.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
3,0.525,520.0142,2304.0,3.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
4,0.65833336,520.0142,2304.0,4.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
5,0.5,520.0142,2304.0,5.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
6,0.725,520.0142,2304.0,6.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
7,0.52916664,520.0142,2304.0,7.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
8,0.53333336,441.72598,2304.0,0.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
9,0.60833335,441.72598,2304.0,1.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
10,0.5083333,441.72598,2304.0,2.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
11,0.47083333,441.72598,2304.0,3.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
12,0.5,441.72598,2304.0,4.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
13,0.475,441.72598,2304.0,5.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
14,0.60833335,441.72598,2304.0,6.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
15,0.5,441.72598,2304.0,7.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
16,0.81666666,427.8458,2304.0,0.0,3,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
17,0.775,427.8458,2304.0,1.0,3,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
18,0.55833334,427.8458,2304.0,2.0,3,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
19,0.67083335,427.8458,2304.0,3.0,3,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
20,0.6125,427.8458,2304.0,4.0,3,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
21,0.72083336,427.8458,2304.0,5.0,3,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
22,0.8333333,427.8458,2304.0,6.0,3,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
23,0.59166664,427.8458,2304.0,7.0,3,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
24,0.71666664,439.96475,2304.0,0.0,4,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
25,0.4875,439.96475,2304.0,1.0,4,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
26,0.6041667,439.96475,2304.0,2.0,4,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
27,0.50416666,439.96475,2304.0,3.0,4,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
28,0.60833335,439.96475,2304.0,4.0,4,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
29,0.6333333,439.96475,2304.0,5.0,4,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
30,0.50416666,439.96475,2304.0,6.0,4,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
31,0.5125,439.96475,2304.0,7.0,4,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
32,0.6041667,446.83817,2304.0,0.0,5,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
33,0.53333336,446.83817,2304.0,1.0,5,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
34,0.5125,446.83817,2304.0,2.0,5,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
35,0.5625,446.83817,2304.0,3.0,5,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
36,0.50416666,446.83817,2304.0,4.0,5,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
37,0.5,446.83817,2304.0,5.0,5,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
38,0.50416666,446.83817,2304.0,6.0,5,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
39,0.5,446.83817,2304.0,7.0,5,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
40,0.55,411.1914,2304.0,0.0,6,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
41,0.6,411.1914,2304.0,1.0,6,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
42,0.6125,411.1914,2304.0,2.0,6,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
43,0.5875,411.1914,2304.0,3.0,6,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
44,0.57916665,411.1914,2304.0,4.0,6,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
45,0.54583335,411.1914,2304.0,5.0,6,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
46,0.62083334,411.1914,2304.0,6.0,6,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
