,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.675,252.21877,2304.0,0.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
1,0.8375,266.2122,2304.0,1.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
2,0.80833334,279.16946,2304.0,2.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
3,0.7416667,291.22275,2304.0,3.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
4,0.7583333,300.22833,2304.0,4.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
5,0.7625,314.523,2304.0,5.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
6,0.82916665,331.146,2304.0,6.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
7,0.80833334,346.53192,2304.0,7.0,1,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
8,0.53333336,228.81287,2304.0,0.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
9,0.55833334,242.32968,2304.0,1.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
10,0.54583335,256.5257,2304.0,2.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
11,0.49583334,271.18805,2304.0,3.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
12,0.52916664,279.60614,2304.0,4.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
13,0.52916664,290.9123,2304.0,5.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
14,0.5875,299.27747,2304.0,6.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
15,0.51666665,308.08435,2304.0,7.0,2,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
16,0.95,278.5535,2304.0,0.0,3,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
17,0.9375,293.10318,2304.0,1.0,3,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
18,0.92083335,308.00253,2304.0,2.0,3,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
19,0.93333334,323.08582,2304.0,3.0,3,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
20,0.95416665,341.25934,2304.0,4.0,3,both,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
