,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.47916666,173.71236,2304.0,0.0,0.4449384,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
1,0.7708333,173.71236,2304.0,1.0,0.56039625,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
2,0.6666667,173.71236,2304.0,2.0,0.34517258,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
3,0.5416667,173.71236,2304.0,3.0,0.39432937,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
4,0.625,173.71236,2304.0,4.0,0.5213846,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
5,0.5,173.71236,2304.0,5.0,0.426401,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
6,0.7083333,173.71236,2304.0,6.0,0.4581581,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
7,0.5,173.71236,2304.0,7.0,0.36188662,1,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
8,0.5625,183.67726,2304.0,0.0,0.25781178,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
9,0.47916666,183.67726,2304.0,1.0,0.23815097,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
10,0.5208333,183.67726,2304.0,2.0,0.3423509,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
11,0.5416667,183.67726,2304.0,3.0,0.27879187,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
12,0.5416667,183.67726,2304.0,4.0,0.26481885,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
13,0.5833333,183.67726,2304.0,5.0,0.34819847,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
14,0.5625,183.67726,2304.0,6.0,0.22245462,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
15,0.5416667,183.67726,2304.0,7.0,0.25186688,2,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
16,0.6458333,217.35757,2304.0,0.0,0.8501257,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
17,0.6875,217.35757,2304.0,1.0,0.6354293,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
18,0.6666667,217.35757,2304.0,2.0,0.8958534,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
19,0.75,217.35757,2304.0,3.0,0.7107733,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
20,0.7291667,217.35757,2304.0,4.0,0.7011654,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
21,0.7083333,217.35757,2304.0,5.0,0.6425535,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
22,0.8125,217.35757,2304.0,6.0,0.6723433,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
23,0.6041667,217.35757,2304.0,7.0,1.0063012,3,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
24,0.8333333,191.57045,2304.0,0.0,0.49072957,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
25,0.5,191.57045,2304.0,1.0,0.34936085,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
26,0.7916667,191.57045,2304.0,2.0,0.41090128,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
27,0.5208333,191.57045,2304.0,3.0,0.3798823,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
28,0.5416667,191.57045,2304.0,4.0,0.28185686,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
29,0.5833333,191.57045,2304.0,5.0,0.35260954,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
30,0.5,191.57045,2304.0,6.0,0.333848,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
31,0.5,191.57045,2304.0,7.0,0.32667127,4,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
32,0.6458333,240.66588,2304.0,0.0,0.21337576,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
33,0.5625,240.66588,2304.0,1.0,0.214569,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
34,0.5208333,240.66588,2304.0,2.0,0.19098522,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
35,0.5,240.66588,2304.0,3.0,0.1877472,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
36,0.5,240.66588,2304.0,4.0,0.19759665,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
37,0.47916666,240.66588,2304.0,5.0,0.2536113,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
38,0.5,240.66588,2304.0,6.0,0.18853272,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
39,0.5,240.66588,2304.0,7.0,0.20319574,5,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
40,0.6458333,187.4636,2304.0,0.0,0.36342034,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
41,0.625,187.4636,2304.0,1.0,0.2952932,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
42,0.6458333,187.4636,2304.0,2.0,0.21105511,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
43,0.7916667,187.4636,2304.0,3.0,0.36155596,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
44,0.5208333,187.4636,2304.0,4.0,0.26585382,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
45,0.5,187.4636,2304.0,5.0,0.31974635,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
46,0.6458333,187.4636,2304.0,6.0,0.23615928,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
47,0.7291667,187.4636,2304.0,7.0,0.23491415,6,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
48,0.6041667,205.13753,2304.0,0.0,0.34190658,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
49,0.5208333,205.13753,2304.0,1.0,0.3556813,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
50,0.6458333,205.13753,2304.0,2.0,0.39440858,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
51,0.5208333,205.13753,2304.0,3.0,0.4233177,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
52,0.41666666,205.13753,2304.0,4.0,0.45265222,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
53,0.6041667,205.13753,2304.0,5.0,0.3475028,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
54,0.5625,205.13753,2304.0,6.0,0.44852823,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
55,0.5,205.13753,2304.0,7.0,0.3860304,7,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
56,0.9375,259.4894,2304.0,0.0,0.6775723,8,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
57,0.6875,259.4894,2304.0,1.0,0.74539155,8,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
58,0.9166667,259.4894,2304.0,2.0,0.81362915,8,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
59,0.9375,259.4894,2304.0,3.0,0.84234035,8,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
60,0.7083333,259.4894,2304.0,4.0,0.727756,8,session_E,22,2,BNCI2014-001,EEGNet|_Without_EA-Frozen
