,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.6,1888.9639,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
1,0.81666666,1928.2781,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
2,0.6791667,2021.1191,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
3,0.65416664,2096.2449,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
4,0.76666665,2143.04,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
5,0.45833334,2222.4324,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
6,0.79583335,2299.7307,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
7,0.6,2356.1353,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
8,0.55833334,1852.69,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
9,0.53333336,1927.0631,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
10,0.50416666,1957.5941,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
11,0.5,2025.147,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
12,0.55,2054.3765,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
13,0.525,2116.663,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
14,0.56666666,2150.2744,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
15,0.5,2184.3323,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
16,0.81666666,1826.2053,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
17,0.57916665,1973.6318,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
18,0.8125,2015.9366,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
19,0.6333333,2151.3425,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
20,0.7583333,2196.3677,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
21,0.57916665,2241.1248,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
22,0.8875,2330.0347,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
23,0.8125,2383.8962,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
24,0.6958333,1580.3335,2304.0,0.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
25,0.5541667,1622.8954,2304.0,1.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
26,0.625,1667.5623,2304.0,2.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
27,0.5416667,1714.2769,2304.0,3.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
28,0.52916664,1821.1954,2304.0,4.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
29,0.54583335,1860.6412,2304.0,5.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
30,0.65,1978.2145,2304.0,6.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
31,0.6458333,2020.1681,2304.0,7.0,4,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
32,0.5208333,1486.4348,2304.0,0.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
33,0.51666665,1525.1364,2304.0,1.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
34,0.54583335,1557.3818,2304.0,2.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
35,0.60833335,1604.9581,2304.0,3.0,5,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
