,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.75416666,1790.6221,2304.0,0.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
1,0.8125,1835.5768,2304.0,1.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
2,0.7375,1882.9227,2304.0,2.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
3,0.8208333,1945.5348,2304.0,3.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
4,0.78333336,1987.6644,2304.0,4.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
5,0.7625,2032.1124,2304.0,5.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
6,0.8125,2084.877,2304.0,6.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
7,0.77916664,2178.8535,2304.0,7.0,1,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
8,0.5708333,1613.567,2304.0,0.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
9,0.49583334,1650.451,2304.0,1.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
10,0.4875,1686.4406,2304.0,2.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
11,0.5625,1740.5961,2304.0,3.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
12,0.5083333,1777.2042,2304.0,4.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
13,0.52916664,1814.0822,2304.0,5.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
14,0.62916666,1892.0424,2304.0,6.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
15,0.525,1935.9481,2304.0,7.0,2,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
16,0.95416665,1404.7548,2304.0,0.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
17,0.9,1483.4266,2304.0,1.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
18,0.90416664,1580.673,2304.0,2.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
19,0.9291667,1626.8751,2304.0,3.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
20,0.94166666,1663.4288,2304.0,4.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
21,0.9125,1695.9362,2304.0,5.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
22,0.96666664,1751.8041,2304.0,6.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
23,0.9625,1787.4697,2304.0,7.0,3,session_E,22,2,001-2014,EEGNet|_Without_EA-Not_Frozen
