,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.8958333,516.42126,5200.0,0.0,0.79601884,1,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
1,0.8541667,516.42126,5200.0,1.0,1.0777245,1,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
2,0.8333333,516.42126,5200.0,2.0,0.6976812,1,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
3,0.9791667,516.42126,5200.0,3.0,1.473429,1,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
4,0.8125,516.42126,5200.0,4.0,0.7164694,1,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
5,0.6458333,516.42126,5200.0,5.0,0.43136284,1,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
6,0.5416667,516.42126,5200.0,6.0,0.52891177,1,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
7,0.875,516.42126,5200.0,7.0,0.6156526,1,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
8,0.9791667,516.42126,5200.0,8.0,0.920688,1,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
9,0.5208333,516.42126,5200.0,9.0,0.26186407,1,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
10,0.5625,516.42126,5200.0,10.0,0.31431916,1,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
11,0.8958333,525.88007,5200.0,0.0,1.2055246,2,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
12,0.8333333,525.88007,5200.0,1.0,1.2255474,2,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
13,1.0,525.88007,5200.0,2.0,0.93692374,2,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
14,0.8541667,525.88007,5200.0,3.0,1.6374944,2,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
15,0.8541667,525.88007,5200.0,4.0,0.96759355,2,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
16,0.7291667,525.88007,5200.0,5.0,0.81087637,2,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
17,0.9375,525.88007,5200.0,6.0,1.0260494,2,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
18,0.7708333,525.88007,5200.0,7.0,0.7568346,2,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
19,0.9583333,525.88007,5200.0,8.0,0.98548806,2,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
20,0.8333333,525.88007,5200.0,9.0,0.9362947,2,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
21,0.4375,525.88007,5200.0,10.0,0.6566246,2,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
22,0.6458333,484.9364,5200.0,0.0,0.4729059,3,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
23,0.8958333,484.9364,5200.0,1.0,0.7160147,3,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
24,0.7916667,484.9364,5200.0,2.0,0.34509316,3,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
25,0.8541667,484.9364,5200.0,3.0,0.6426064,3,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
26,0.9166667,484.9364,5200.0,4.0,0.5451755,3,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
27,0.8958333,484.9364,5200.0,5.0,0.5819468,3,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
28,0.7083333,484.9364,5200.0,6.0,0.44374865,3,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
29,0.8125,484.9364,5200.0,7.0,0.6521432,3,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
30,0.8541667,484.9364,5200.0,8.0,0.48349053,3,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
31,0.5833333,484.9364,5200.0,9.0,0.35017622,3,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
32,0.5208333,484.9364,5200.0,10.0,0.26562312,3,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
33,0.7708333,525.68726,5200.0,0.0,0.96241134,4,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
34,0.8958333,525.68726,5200.0,1.0,0.98167837,4,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
35,0.8541667,525.68726,5200.0,2.0,0.80667454,4,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
36,0.7708333,525.68726,5200.0,3.0,1.0017078,4,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
37,0.8958333,525.68726,5200.0,4.0,0.57993853,4,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
38,0.6041667,525.68726,5200.0,5.0,0.65200573,4,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
39,0.8333333,525.68726,5200.0,6.0,0.7864971,4,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
40,0.7291667,525.68726,5200.0,7.0,0.7163461,4,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
41,0.8125,525.68726,5200.0,8.0,0.7991158,4,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
42,0.75,525.68726,5200.0,9.0,0.9555976,4,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
43,0.45833334,525.68726,5200.0,10.0,0.6891897,4,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
44,0.5208333,552.26074,5200.0,0.0,0.65843487,5,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
45,0.8125,552.26074,5200.0,1.0,0.70273757,5,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
46,0.7291667,552.26074,5200.0,2.0,0.5840438,5,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
47,0.75,552.26074,5200.0,3.0,0.35547188,5,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
48,0.7708333,552.26074,5200.0,4.0,0.48299494,5,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
49,0.7708333,552.26074,5200.0,5.0,0.42644063,5,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
50,0.6875,552.26074,5200.0,6.0,0.44642293,5,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
51,0.7291667,552.26074,5200.0,7.0,0.49790633,5,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
52,0.7916667,552.26074,5200.0,8.0,0.4940537,5,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
53,0.5,552.26074,5200.0,9.0,0.46505913,5,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
54,0.47916666,552.26074,5200.0,10.0,0.2771225,5,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
55,0.5625,558.5102,5200.0,0.0,0.3280667,6,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
56,0.6666667,558.5102,5200.0,1.0,0.30181947,6,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
57,0.7291667,558.5102,5200.0,2.0,0.3214077,6,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
58,0.75,558.5102,5200.0,3.0,0.32328683,6,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
59,0.7083333,558.5102,5200.0,4.0,0.25666195,6,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
60,0.5208333,558.5102,5200.0,5.0,0.28313932,6,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
61,0.6666667,558.5102,5200.0,6.0,0.40095338,6,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
62,0.6875,558.5102,5200.0,7.0,0.33971682,6,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
63,0.8541667,558.5102,5200.0,8.0,0.325104,6,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
64,0.6041667,558.5102,5200.0,9.0,0.36296883,6,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
65,0.7083333,558.5102,5200.0,10.0,0.28865162,6,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
66,0.5833333,531.2124,5200.0,0.0,0.6098194,7,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
67,0.7083333,531.2124,5200.0,1.0,0.6007153,7,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
68,0.7708333,531.2124,5200.0,2.0,0.63945115,7,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
69,0.75,531.2124,5200.0,3.0,0.6104899,7,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
70,0.7708333,531.2124,5200.0,4.0,0.7432742,7,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
71,0.7083333,531.2124,5200.0,5.0,0.5681126,7,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
72,0.7291667,531.2124,5200.0,6.0,0.71561736,7,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
73,0.5625,531.2124,5200.0,7.0,0.487048,7,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
74,0.7083333,531.2124,5200.0,8.0,0.60128355,7,both,13,2,BNCI2015-001,AttentionBaseNet|_EA-Frozen
