,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.76666665,113.530045,5200.0,1,both,13,2,BNCI2015-001,EEGNetv4_EA
1,0.975,99.496765,5200.0,2,both,13,2,BNCI2015-001,EEGNetv4_EA
2,0.58055556,95.83142,5200.0,3,both,13,2,BNCI2015-001,EEGNetv4_EA
3,0.8833333,80.50468,5200.0,4,both,13,2,BNCI2015-001,EEGNetv4_EA
4,0.80833334,68.276474,5200.0,5,both,13,2,BNCI2015-001,EEGNetv4_EA
5,0.6722222,75.50094,5200.0,6,both,13,2,BNCI2015-001,EEGNetv4_EA
6,0.74444443,102.01558,5200.0,7,both,13,2,BNCI2015-001,EEGNetv4_EA
7,0.53571427,63.877235,5000.0,8,both,13,2,BNCI2015-001,EEGNetv4_EA
8,0.73214287,96.25278,5000.0,9,both,13,2,BNCI2015-001,EEGNetv4_EA
9,0.7089286,75.67393,5000.0,10,both,13,2,BNCI2015-001,EEGNetv4_EA
10,0.51964283,71.34662,5000.0,11,both,13,2,BNCI2015-001,EEGNetv4_EA
11,0.59166664,86.264465,5200.0,12,both,13,2,BNCI2015-001,EEGNetv4_EA
