,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.9791667,571.0621,5200.0,0.0,1.4056299,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
1,0.5208333,571.0621,5200.0,1.0,1.2465464,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
2,0.8958333,571.0621,5200.0,2.0,0.96323997,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
3,1.0,571.0621,5200.0,3.0,1.3721178,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
4,0.6041667,571.0621,5200.0,4.0,0.93758273,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
5,0.75,571.0621,5200.0,5.0,0.82004833,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
6,0.45833334,571.0621,5200.0,6.0,0.79582834,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
7,0.9791667,571.0621,5200.0,7.0,0.8927519,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
8,0.7083333,571.0621,5200.0,8.0,1.062004,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
9,0.41666666,571.0621,5200.0,9.0,0.44900414,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
10,0.41666666,571.0621,5200.0,10.0,0.87711555,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
11,0.8958333,466.52704,5200.0,0.0,1.56801,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
12,0.8125,466.52704,5200.0,1.0,1.5284456,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
13,0.9375,466.52704,5200.0,2.0,1.3317735,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
14,0.8958333,466.52704,5200.0,3.0,1.4230108,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
15,0.8333333,466.52704,5200.0,4.0,1.1044564,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
16,0.9375,466.52704,5200.0,5.0,1.2260177,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
17,0.8125,466.52704,5200.0,6.0,1.3080889,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
18,0.8125,466.52704,5200.0,7.0,1.2310557,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
19,0.875,466.52704,5200.0,8.0,1.231771,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
20,0.5,466.52704,5200.0,9.0,0.5841059,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
21,0.4375,466.52704,5200.0,10.0,0.8563415,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
22,0.8125,540.4633,5200.0,0.0,0.92006326,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
23,0.8333333,540.4633,5200.0,1.0,0.8934501,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
24,0.875,540.4633,5200.0,2.0,0.8216392,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
25,0.7916667,540.4633,5200.0,3.0,0.82247156,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
26,0.8541667,540.4633,5200.0,4.0,0.68193394,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
27,0.75,540.4633,5200.0,5.0,0.82210183,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
28,0.7291667,540.4633,5200.0,6.0,0.74407876,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
29,0.6458333,540.4633,5200.0,7.0,0.7258505,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
30,0.7291667,540.4633,5200.0,8.0,0.7126976,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
31,0.5,540.4633,5200.0,9.0,0.48826525,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
32,0.39583334,540.4633,5200.0,10.0,0.35485938,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
33,0.875,483.24603,5200.0,0.0,1.0223408,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
34,0.875,483.24603,5200.0,1.0,1.2384897,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
35,0.6666667,483.24603,5200.0,2.0,1.2735642,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
36,0.8333333,483.24603,5200.0,3.0,1.1933709,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
37,0.8541667,483.24603,5200.0,4.0,0.9638409,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
38,0.8125,483.24603,5200.0,5.0,0.87762314,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
39,0.7916667,483.24603,5200.0,6.0,1.1013117,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
40,0.9166667,483.24603,5200.0,7.0,0.92759794,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
41,0.7708333,483.24603,5200.0,8.0,1.1190907,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
42,0.6875,483.24603,5200.0,9.0,0.54824734,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
43,0.41666666,483.24603,5200.0,10.0,0.83655304,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
44,0.8125,513.32,5200.0,0.0,0.7199183,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
45,0.8333333,513.32,5200.0,1.0,0.7235798,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
46,0.5,513.32,5200.0,2.0,0.6558642,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
47,0.75,513.32,5200.0,3.0,0.60560274,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
48,0.8333333,513.32,5200.0,4.0,0.5379945,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
49,0.6458333,513.32,5200.0,5.0,0.64803797,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
50,0.5,513.32,5200.0,6.0,0.28143823,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
51,0.5625,513.32,5200.0,7.0,0.5028958,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
52,0.7291667,513.32,5200.0,8.0,0.5960286,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
53,0.47916666,513.32,5200.0,9.0,0.28758687,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
54,0.5416667,513.32,5200.0,10.0,0.33476007,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
55,0.5833333,515.5757,5200.0,0.0,0.29553327,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
56,0.625,515.5757,5200.0,1.0,0.4381579,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
57,0.5416667,515.5757,5200.0,2.0,0.40761578,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
58,0.6875,515.5757,5200.0,3.0,0.38011596,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
59,0.6458333,515.5757,5200.0,4.0,0.3826434,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
60,0.5416667,515.5757,5200.0,5.0,0.34590062,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
61,0.6041667,515.5757,5200.0,6.0,0.37921545,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
62,0.7083333,515.5757,5200.0,7.0,0.4054779,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
63,0.6041667,515.5757,5200.0,8.0,0.31853527,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
64,0.5,515.5757,5200.0,9.0,0.27277347,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
65,0.6458333,515.5757,5200.0,10.0,0.40564945,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
66,0.8958333,489.28183,5200.0,0.0,0.98894614,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
67,0.5416667,489.28183,5200.0,1.0,0.77617353,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
68,0.5416667,489.28183,5200.0,2.0,0.8198112,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
69,0.7291667,489.28183,5200.0,3.0,0.61832726,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
70,0.6458333,489.28183,5200.0,4.0,0.85050315,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
71,0.7708333,489.28183,5200.0,5.0,0.6261779,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
72,0.6666667,489.28183,5200.0,6.0,0.5913793,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
73,0.41666666,489.28183,5200.0,7.0,0.63515234,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
74,0.5208333,489.28183,5200.0,8.0,0.8372557,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
75,0.5208333,489.28183,5200.0,9.0,0.6033241,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
76,0.5208333,489.28183,5200.0,10.0,0.5950873,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
77,0.5,559.6062,5000.0,0.0,0.18217225,8,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
78,0.5416667,559.6062,5000.0,1.0,0.22351383,8,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
79,0.5,559.6062,5000.0,2.0,0.20935486,8,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
80,0.5,559.6062,5000.0,3.0,0.18972868,8,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
81,0.625,559.6062,5000.0,4.0,0.18580143,8,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
82,0.39583334,559.6062,5000.0,5.0,0.22662732,8,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
83,0.5208333,559.6062,5000.0,6.0,0.20246322,8,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
84,0.5833333,559.6062,5000.0,7.0,0.17765975,8,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
85,0.6041667,559.6062,5000.0,8.0,0.1979181,8,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
86,0.625,559.6062,5000.0,9.0,0.22613281,8,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
87,0.5208333,559.6062,5000.0,10.0,0.2919295,8,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
88,0.47916666,476.9584,5000.0,0.0,0.3012358,9,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
89,0.5833333,476.9584,5000.0,1.0,0.36846665,9,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
90,0.47916666,476.9584,5000.0,2.0,0.32573628,9,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
