,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.98055553,461.8656,5200.0,0.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
1,0.9916667,484.32172,5200.0,1.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
2,0.9916667,508.23022,5200.0,2.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
3,0.9916667,525.82983,5200.0,3.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
4,0.9583333,548.47125,5200.0,4.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
5,0.98055553,566.8872,5200.0,5.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
6,0.98888886,586.3198,5200.0,6.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
7,0.975,604.2271,5200.0,7.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
8,0.99722224,619.62933,5200.0,8.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
9,0.90833336,642.051,5200.0,9.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
10,0.88055557,664.52,5200.0,10.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
11,0.98333335,396.37646,5200.0,0.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
12,0.98055553,417.79514,5200.0,1.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
13,0.9777778,440.53732,5200.0,2.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
14,0.96666664,450.9891,5200.0,3.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
15,0.9777778,473.69858,5200.0,4.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
16,0.95,498.0826,5200.0,5.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
17,0.95555556,522.87256,5200.0,6.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
18,0.975,549.00336,5200.0,7.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
19,0.98055553,572.26996,5200.0,8.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
20,0.925,594.4562,5200.0,9.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
21,0.92777777,616.9698,5200.0,10.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
22,0.9444444,410.01834,5200.0,0.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
23,0.91944444,434.42957,5200.0,1.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
24,0.94722223,457.75986,5200.0,2.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
25,0.9361111,482.6342,5200.0,3.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
26,0.925,508.87048,5200.0,4.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
27,0.89166665,531.76776,5200.0,5.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
28,0.9166667,555.72766,5200.0,6.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
29,0.90833336,581.7507,5200.0,7.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
30,0.925,603.0218,5200.0,8.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
31,0.8888889,627.63666,5200.0,9.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
32,0.7416667,653.09705,5200.0,10.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
33,0.85,411.10526,5200.0,0.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
34,0.9,424.1002,5200.0,1.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
35,0.8972222,444.0654,5200.0,2.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
36,0.8611111,466.66064,5200.0,3.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
37,0.86944443,488.76044,5200.0,4.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
38,0.7722222,502.77582,5200.0,5.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
39,0.875,525.3578,5200.0,6.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
40,0.9,547.394,5200.0,7.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
41,0.8611111,573.916,5200.0,8.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
42,0.8055556,597.54785,5200.0,9.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
43,0.8138889,623.9959,5200.0,10.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
44,0.7861111,403.93826,5200.0,0.0,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
45,0.7888889,421.40695,5200.0,1.0,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
46,0.78333336,448.42203,5200.0,2.0,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
47,0.79444444,469.0619,5200.0,3.0,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
48,0.8888889,493.79657,5200.0,4.0,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
49,0.76111114,517.5553,5200.0,5.0,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
50,0.8055556,543.2752,5200.0,6.0,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
51,0.74444443,569.4797,5200.0,7.0,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
52,0.84166664,595.5123,5200.0,8.0,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
53,0.6944444,620.0257,5200.0,9.0,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
54,0.5638889,645.53534,5200.0,10.0,5,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
55,0.61388886,458.61713,5200.0,0.0,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
56,0.65833336,476.18552,5200.0,1.0,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
57,0.71666664,498.42477,5200.0,2.0,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
58,0.6388889,521.112,5200.0,3.0,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
59,0.7583333,541.09265,5200.0,4.0,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
60,0.6,562.19006,5200.0,5.0,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
61,0.6472222,584.1974,5200.0,6.0,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
62,0.76666665,605.9876,5200.0,7.0,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
63,0.6388889,625.8778,5200.0,8.0,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
64,0.5694444,649.8561,5200.0,9.0,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
65,0.71944445,672.28094,5200.0,10.0,6,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
66,0.9,443.0018,5200.0,0.0,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
67,0.80833334,465.87576,5200.0,1.0,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
68,0.8472222,488.6973,5200.0,2.0,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
69,0.81666666,509.10825,5200.0,3.0,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
70,0.85555553,526.8917,5200.0,4.0,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
71,0.75555557,546.2874,5200.0,5.0,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
72,0.74722224,567.4963,5200.0,6.0,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
73,0.6861111,590.86774,5200.0,7.0,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
74,0.76666665,616.085,5200.0,8.0,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
75,0.67777777,640.5991,5200.0,9.0,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
76,0.6333333,665.6182,5200.0,10.0,7,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
77,0.5138889,396.06787,5000.0,0.0,8,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
78,0.51666665,416.5069,5000.0,1.0,8,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
79,0.65,435.41885,5000.0,2.0,8,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
80,0.525,455.03256,5000.0,3.0,8,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
