,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.975,446.20782,5200.0,0.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
1,0.56666666,446.20782,5200.0,1.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
2,0.975,446.20782,5200.0,2.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
3,0.99722224,446.20782,5200.0,3.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
4,0.59444445,446.20782,5200.0,4.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
5,0.74444443,446.20782,5200.0,5.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
6,0.7027778,446.20782,5200.0,6.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
7,0.7888889,446.20782,5200.0,7.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
8,0.75,446.20782,5200.0,8.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
9,0.625,446.20782,5200.0,9.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
10,0.37777779,446.20782,5200.0,10.0,1,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
11,0.9777778,337.31485,5200.0,0.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
12,0.8,337.31485,5200.0,1.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
13,0.9638889,337.31485,5200.0,2.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
14,0.9611111,337.31485,5200.0,3.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
15,0.9638889,337.31485,5200.0,4.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
16,0.87222224,337.31485,5200.0,5.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
17,0.91944444,337.31485,5200.0,6.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
18,0.925,337.31485,5200.0,7.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
19,0.9638889,337.31485,5200.0,8.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
20,0.50277776,337.31485,5200.0,9.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
21,0.5083333,337.31485,5200.0,10.0,2,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
22,0.8611111,386.10403,5200.0,0.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
23,0.8361111,386.10403,5200.0,1.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
24,0.9027778,386.10403,5200.0,2.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
25,0.89166665,386.10403,5200.0,3.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
26,0.76944447,386.10403,5200.0,4.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
27,0.71666664,386.10403,5200.0,5.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
28,0.8111111,386.10403,5200.0,6.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
29,0.5861111,386.10403,5200.0,7.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
30,0.65833336,386.10403,5200.0,8.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
31,0.48333332,386.10403,5200.0,9.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
32,0.5694444,386.10403,5200.0,10.0,3,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
33,0.85,390.867,5200.0,0.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
34,0.86944443,390.867,5200.0,1.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
35,0.6638889,390.867,5200.0,2.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
36,0.8388889,390.867,5200.0,3.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
37,0.84444445,390.867,5200.0,4.0,4,both,13,2,BNCI2015-001,EEGNet|_EA-Frozen
