,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8388889,421.826,5200.0,1,both,13,2,BNCI2015-001,EEGNetv4_EA
1,0.96944445,343.1063,5200.0,2,both,13,2,BNCI2015-001,EEGNetv4_EA
2,0.62222224,357.4192,5200.0,3,both,13,2,BNCI2015-001,EEGNetv4_EA
3,0.925,353.10663,5200.0,4,both,13,2,BNCI2015-001,EEGNetv4_EA
4,0.86388886,461.58768,5200.0,5,both,13,2,BNCI2015-001,EEGNetv4_EA
5,0.69166666,389.1157,5200.0,6,both,13,2,BNCI2015-001,EEGNetv4_EA
6,0.69166666,442.06717,5200.0,7,both,13,2,BNCI2015-001,EEGNetv4_EA
7,0.5375,301.79364,5000.0,8,both,13,2,BNCI2015-001,EEGNetv4_EA
8,0.8,302.21588,5000.0,9,both,13,2,BNCI2015-001,EEGNetv4_EA
9,0.66071427,386.2743,5000.0,10,both,13,2,BNCI2015-001,EEGNetv4_EA
10,0.5232143,551.1202,5000.0,11,both,13,2,BNCI2015-001,EEGNetv4_EA
11,0.54444444,345.5995,5200.0,12,both,13,2,BNCI2015-001,EEGNetv4_EA
