,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.5,522.9782,5200.0,0.0,0.5452441,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
1,0.9583333,522.9782,5200.0,1.0,1.0403087,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
2,0.5,522.9782,5200.0,2.0,0.6164003,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
3,0.8541667,522.9782,5200.0,3.0,1.0715821,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
4,0.5,522.9782,5200.0,4.0,0.52579784,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
5,0.41666666,522.9782,5200.0,5.0,0.50865304,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
6,0.5,522.9782,5200.0,6.0,0.3396686,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
7,0.5833333,522.9782,5200.0,7.0,0.46323493,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
8,0.5208333,522.9782,5200.0,8.0,0.7195847,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
9,0.5416667,522.9782,5200.0,9.0,0.44762594,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
10,0.5,522.9782,5200.0,10.0,0.35875145,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
11,0.5,558.0005,5200.0,0.0,1.7268424,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
12,0.6041667,558.0005,5200.0,1.0,1.3191816,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
13,0.8958333,558.0005,5200.0,2.0,1.1967102,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
14,0.7708333,558.0005,5200.0,3.0,1.1239578,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
15,0.8541667,558.0005,5200.0,4.0,1.1708935,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
16,0.5,558.0005,5200.0,5.0,0.98001385,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
17,0.6875,558.0005,5200.0,6.0,0.99563795,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
18,0.6458333,558.0005,5200.0,7.0,1.0250775,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
19,0.9166667,558.0005,5200.0,8.0,1.134152,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
20,0.6875,558.0005,5200.0,9.0,0.7751628,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
21,0.375,558.0005,5200.0,10.0,1.013925,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
22,0.5208333,552.3108,5200.0,0.0,0.86170363,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
23,0.7083333,552.3108,5200.0,1.0,0.7711084,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
24,0.5208333,552.3108,5200.0,2.0,0.81821936,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
25,0.8541667,552.3108,5200.0,3.0,0.85473526,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
26,0.625,552.3108,5200.0,4.0,0.8714253,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
27,0.5208333,552.3108,5200.0,5.0,0.6652501,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
28,0.47916666,552.3108,5200.0,6.0,0.6522609,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
29,0.5416667,552.3108,5200.0,7.0,1.0530125,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
30,0.5416667,552.3108,5200.0,8.0,0.79929596,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
31,0.6458333,552.3108,5200.0,9.0,0.28662452,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
32,0.5,552.3108,5200.0,10.0,0.4572447,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
33,0.5,835.5138,5200.0,0.0,1.6780584,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
34,0.6458333,835.5138,5200.0,1.0,0.79129577,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
35,0.5,835.5138,5200.0,2.0,0.8665443,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
36,0.6458333,835.5138,5200.0,3.0,1.0179656,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
37,0.7916667,835.5138,5200.0,4.0,0.6021424,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
38,0.47916666,835.5138,5200.0,5.0,0.5199538,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
39,0.8541667,835.5138,5200.0,6.0,0.8356209,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
40,0.7708333,835.5138,5200.0,7.0,0.82463735,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
41,0.75,835.5138,5200.0,8.0,0.628068,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
42,0.5625,835.5138,5200.0,9.0,0.6667222,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
