,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.5,424.86035,5200.0,0.0,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
1,0.50284094,440.63623,5200.0,1.0,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
2,0.5,458.89905,5200.0,2.0,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
3,0.5511364,472.22153,5200.0,3.0,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
4,0.5,484.3635,5200.0,4.0,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
5,0.50284094,510.91556,5200.0,5.0,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
6,0.5,530.3677,5200.0,6.0,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
7,0.5,550.5974,5200.0,7.0,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
8,0.50284094,570.95074,5200.0,8.0,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
9,0.50284094,581.2811,5200.0,9.0,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
10,0.4971591,590.2414,5200.0,10.0,1,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
11,0.9119318,590.15125,5200.0,0.0,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
12,0.94602275,611.8023,5200.0,1.0,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
13,0.91477275,625.3186,5200.0,2.0,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
14,0.9176136,645.67737,5200.0,3.0,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
15,0.93465906,666.406,5200.0,4.0,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
16,0.85227275,685.39777,5200.0,5.0,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
17,0.92045456,700.2625,5200.0,6.0,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
18,0.87215906,724.0584,5200.0,7.0,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
19,0.89772725,736.10114,5200.0,8.0,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
20,0.90909094,757.2602,5200.0,9.0,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
21,0.84659094,796.47205,5200.0,10.0,2,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
22,0.9005682,540.4111,5200.0,0.0,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
23,0.8948864,563.5983,5200.0,1.0,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
24,0.90625,577.90607,5200.0,2.0,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
25,0.92329544,602.4977,5200.0,3.0,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
26,0.8238636,614.50635,5200.0,4.0,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
27,0.87215906,637.70197,5200.0,5.0,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
28,0.92329544,660.55225,5200.0,6.0,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
29,0.88352275,685.3284,5200.0,7.0,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
30,0.90340906,711.0011,5200.0,8.0,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
31,0.86079544,735.85254,5200.0,9.0,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
32,0.92329544,759.4048,5200.0,10.0,3,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
33,0.7698864,572.3843,5200.0,0.0,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
34,0.72727275,592.9083,5200.0,1.0,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
35,0.82102275,615.57324,5200.0,2.0,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
36,0.79545456,636.9021,5200.0,3.0,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
37,0.7698864,648.1591,5200.0,4.0,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
38,0.88352275,667.1137,5200.0,5.0,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
39,0.79545456,686.69006,5200.0,6.0,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
40,0.82954544,704.25824,5200.0,7.0,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
41,0.7755682,722.59406,5200.0,8.0,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
42,0.7386364,739.2976,5200.0,9.0,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
43,0.7613636,750.37555,5200.0,10.0,4,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
44,0.75852275,504.54938,5200.0,0.0,5,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
45,0.7613636,513.63385,5200.0,1.0,5,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
46,0.74715906,532.474,5200.0,2.0,5,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
47,0.71590906,541.50476,5200.0,3.0,5,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
48,0.8238636,554.9136,5200.0,4.0,5,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
49,0.77272725,564.3087,5200.0,5.0,5,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
50,0.68465906,573.363,5200.0,6.0,5,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
51,0.73295456,590.9364,5200.0,7.0,5,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
52,0.76420456,599.3907,5200.0,8.0,5,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
53,0.73295456,618.06244,5200.0,9.0,5,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
54,0.72727275,639.0379,5200.0,10.0,5,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
55,0.625,431.95764,5200.0,0.0,6,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
56,0.6818182,449.39615,5200.0,1.0,6,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
57,0.63920456,472.09256,5200.0,2.0,6,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
58,0.6136364,495.43774,5200.0,3.0,6,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
59,0.71022725,510.89432,5200.0,4.0,6,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
60,0.58522725,525.63245,5200.0,5.0,6,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
61,0.54829544,536.724,5200.0,6.0,6,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
62,0.62784094,548.0608,5200.0,7.0,6,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
63,0.65625,568.39655,5200.0,8.0,6,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
64,0.53977275,590.3634,5200.0,9.0,6,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
65,0.60227275,601.35596,5200.0,10.0,6,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
66,0.7556818,357.54724,5200.0,0.0,7,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
67,0.82102275,390.17148,5200.0,1.0,7,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
68,0.60795456,408.71487,5200.0,2.0,7,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
69,0.75852275,431.69635,5200.0,3.0,7,both,13,2,BNCI2015-001,AttentionBaseNet|_Without_EA-Frozen
