,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.7222222,583.8741,5200.0,1,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
1,0.8527778,575.33374,5200.0,2,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
2,0.53055555,577.46625,5200.0,3,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
3,0.73888886,572.4566,5200.0,4,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
4,0.66944444,576.0231,5200.0,5,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
5,0.6472222,578.54987,5200.0,6,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
6,0.6527778,516.04675,5200.0,7,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
7,0.6125,472.04794,5000.0,8,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
8,0.6535714,471.04547,5000.0,9,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
9,0.6142857,473.1419,5000.0,10,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
10,0.5375,472.31134,5000.0,11,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
11,0.55,495.95868,5200.0,12,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
