,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.5555556,56.592823,5200.0,1,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
1,0.5,49.758766,5200.0,2,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
2,0.5,45.967056,5200.0,3,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
3,0.71944445,56.268047,5200.0,4,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
4,0.5694444,72.89046,5200.0,5,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
5,0.62777776,56.655945,5200.0,6,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
6,0.5,31.59549,5200.0,7,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
7,0.5,66.30919,5000.0,8,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
8,0.5,28.69118,5000.0,9,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
9,0.525,33.514427,5000.0,10,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
10,0.49821427,41.04142,5000.0,11,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
11,0.51944447,62.243492,5200.0,12,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
