,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.94166666,102.6817,5200.0,0.0,1,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
1,0.94166666,103.88078,5200.0,1.0,1,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
2,0.9916667,110.07041,5200.0,2.0,1,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
3,0.8361111,112.17695,5200.0,3.0,1,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
4,0.5416667,114.076996,5200.0,4.0,1,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
5,0.8055556,115.500175,5200.0,5.0,1,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
6,0.50277776,117.06794,5200.0,6.0,1,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
7,0.59444445,118.55719,5200.0,7.0,1,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
8,0.5888889,120.47869,5200.0,8.0,1,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
9,0.89166665,126.73602,5200.0,9.0,1,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
10,0.54444444,128.08908,5200.0,10.0,1,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
11,0.9388889,74.29161,5200.0,0.0,2,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
12,0.95555556,85.13922,5200.0,1.0,2,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
13,0.95,95.20758,5200.0,2.0,2,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
14,0.8972222,98.51911,5200.0,3.0,2,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
15,0.8472222,107.65125,5200.0,4.0,2,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
16,0.8888889,119.8168,5200.0,5.0,2,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
17,0.9027778,126.27242,5200.0,6.0,2,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
18,0.8888889,131.20068,5200.0,7.0,2,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
19,0.93333334,140.85335,5200.0,8.0,2,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
20,0.91944444,153.60965,5200.0,9.0,2,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
21,0.8361111,166.13857,5200.0,10.0,2,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
22,0.5,53.847485,5200.0,0.0,3,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
23,0.6888889,55.38013,5200.0,1.0,3,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
24,0.66944444,57.17226,5200.0,2.0,3,both,13,2,BNCI2015-001,CTNet|_Without_EA-Frozen
