,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.5638889,856.93756,5200.0,1,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
1,0.80833334,1028.022,5200.0,2,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
2,0.55,1017.8602,5200.0,3,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
3,0.7777778,876.638,5200.0,4,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
4,0.6888889,1579.0271,5200.0,5,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
5,0.6638889,1316.0219,5200.0,6,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
6,0.62777776,1042.0691,5200.0,7,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
7,0.58214283,1412.6372,5000.0,8,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
8,0.64285713,1331.3085,5000.0,9,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
9,0.5964286,1886.1536,5000.0,10,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
10,0.5410714,1641.9348,5000.0,11,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
11,0.5361111,1838.1663,5200.0,12,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
