,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.5,1087.3306,5200.0,0.0,0.8095682,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
1,0.7916667,1087.3306,5200.0,1.0,0.6113564,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
2,0.625,1087.3306,5200.0,2.0,0.90409803,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
3,0.9375,1087.3306,5200.0,3.0,0.8966953,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
4,0.5208333,1087.3306,5200.0,4.0,0.7520027,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
5,0.7708333,1087.3306,5200.0,5.0,0.73277503,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
6,0.5833333,1087.3306,5200.0,6.0,0.6025075,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
7,0.5625,1087.3306,5200.0,7.0,0.681574,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
8,0.5625,1087.3306,5200.0,8.0,0.759466,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
9,0.5,1087.3306,5200.0,9.0,0.618201,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
10,0.6875,1087.3306,5200.0,10.0,0.79553294,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
11,0.5,524.5222,5200.0,0.0,1.12656,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
12,0.5,524.5222,5200.0,1.0,1.0652303,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
13,0.5833333,524.5222,5200.0,2.0,1.045991,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
14,0.47916666,524.5222,5200.0,3.0,0.939807,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
15,0.5,524.5222,5200.0,4.0,1.0819759,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
16,0.5,524.5222,5200.0,5.0,1.0805665,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
17,0.5208333,524.5222,5200.0,6.0,1.0534694,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
18,0.5,524.5222,5200.0,7.0,0.97845596,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
19,0.6041667,524.5222,5200.0,8.0,1.1003207,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
20,0.5,524.5222,5200.0,9.0,1.1515702,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
21,0.45833334,524.5222,5200.0,10.0,0.8014614,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
22,0.5208333,538.9214,5200.0,0.0,0.83286595,3,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
23,0.8125,538.9214,5200.0,1.0,0.8168879,3,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
24,0.7083333,538.9214,5200.0,2.0,0.6566063,3,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
25,0.4375,538.9214,5200.0,3.0,0.4227849,3,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
26,0.5833333,538.9214,5200.0,4.0,0.58572245,3,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
27,0.5208333,538.9214,5200.0,5.0,0.7320885,3,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
28,0.6458333,538.9214,5200.0,6.0,0.60806847,3,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
29,0.5625,538.9214,5200.0,7.0,0.9876776,3,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
30,0.6041667,538.9214,5200.0,8.0,0.7726771,3,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
31,0.5208333,538.9214,5200.0,9.0,0.78533083,3,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
32,0.5208333,538.9214,5200.0,10.0,0.5323723,3,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
33,0.5,524.2774,5200.0,0.0,0.8556452,4,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
34,0.75,524.2774,5200.0,1.0,0.78160113,4,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
35,0.5833333,524.2774,5200.0,2.0,0.63805866,4,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
36,0.45833334,524.2774,5200.0,3.0,0.46841183,4,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
37,0.5625,524.2774,5200.0,4.0,0.45985526,4,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
38,0.5,524.2774,5200.0,5.0,0.64338607,4,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
39,0.45833334,524.2774,5200.0,6.0,0.6685824,4,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
40,0.5,524.2774,5200.0,7.0,0.57413334,4,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
41,0.5625,524.2774,5200.0,8.0,0.63322866,4,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
