,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.5,588.2273,5200.0,0.0,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
1,0.98055553,588.2273,5200.0,1.0,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
2,0.50555557,588.2273,5200.0,2.0,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
3,0.54444444,588.2273,5200.0,3.0,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
4,0.51666665,588.2273,5200.0,4.0,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
5,0.7222222,588.2273,5200.0,5.0,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
6,0.5,588.2273,5200.0,6.0,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
7,0.55277777,588.2273,5200.0,7.0,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
8,0.5,588.2273,5200.0,8.0,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
9,0.35555556,588.2273,5200.0,9.0,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
10,0.6666667,588.2273,5200.0,10.0,1,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
11,0.5,516.6255,5200.0,0.0,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
12,0.60555553,516.6255,5200.0,1.0,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
13,0.9611111,516.6255,5200.0,2.0,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
14,0.7972222,516.6255,5200.0,3.0,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
15,0.7916667,516.6255,5200.0,4.0,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
16,0.65833336,516.6255,5200.0,5.0,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
17,0.7277778,516.6255,5200.0,6.0,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
18,0.65555555,516.6255,5200.0,7.0,2,both,13,2,BNCI2015-001,EEGNet|_Without_EA-Frozen
