,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.7222222,791.6166,5200.0,1,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
1,0.8527778,782.0348,5200.0,2,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
2,0.53055555,788.2273,5200.0,3,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
3,0.73888886,781.4712,5200.0,4,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
4,0.66944444,740.06146,5200.0,5,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
5,0.6472222,662.084,5200.0,6,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
6,0.6527778,587.1798,5200.0,7,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
7,0.6125,476.3227,5000.0,8,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
8,0.6535714,476.8052,5000.0,9,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
9,0.6142857,476.08655,5000.0,10,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
10,0.5375,475.14023,5000.0,11,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
11,0.55,503.15213,5200.0,12,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
