,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.7708333,698.88367,6016.0,0.0,0.41323668,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
1,0.5833333,698.88367,6016.0,1.0,0.34275332,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
2,0.6041667,698.88367,6016.0,2.0,0.28928828,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
3,0.7291667,698.88367,6016.0,3.0,0.3410757,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
4,0.625,698.88367,6016.0,4.0,0.32700625,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
5,0.5416667,698.88367,6016.0,5.0,0.27570695,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
6,0.47916666,698.88367,6016.0,6.0,0.3003651,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
7,0.6666667,698.88367,6016.0,7.0,0.3646403,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
8,0.5,698.88367,6016.0,8.0,0.25564557,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
9,0.8125,698.88367,6016.0,9.0,0.38101268,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
10,0.5833333,698.88367,6016.0,10.0,0.3639921,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
11,0.6875,698.88367,6016.0,11.0,0.31783366,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
12,0.75,742.64465,5982.0,0.0,0.3967198,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
13,0.8541667,742.64465,5982.0,1.0,0.5808385,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
14,0.7083333,742.64465,5982.0,2.0,0.50637496,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
15,0.5833333,742.64465,5982.0,3.0,0.34242326,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
16,0.7916667,742.64465,5982.0,4.0,0.44171754,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
17,0.875,742.64465,5982.0,5.0,0.59024644,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
18,0.5416667,742.64465,5982.0,6.0,0.339049,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
19,0.8541667,742.64465,5982.0,7.0,0.87383354,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
20,0.5208333,742.64465,5982.0,8.0,0.42147806,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
21,0.6458333,742.64465,5982.0,9.0,0.44744095,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
22,0.8958333,742.64465,5982.0,10.0,0.52218425,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
23,0.7708333,742.64465,5982.0,11.0,0.7007692,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
24,0.8125,771.9617,5974.0,0.0,0.60081106,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
25,0.7291667,771.9617,5974.0,1.0,0.32898536,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
26,0.75,771.9617,5974.0,2.0,0.39078084,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
27,0.7916667,771.9617,5974.0,3.0,0.3537053,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
28,0.6666667,771.9617,5974.0,4.0,0.3738829,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
29,0.7291667,771.9617,5974.0,5.0,0.36736813,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
30,0.5208333,771.9617,5974.0,6.0,0.3146991,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
31,0.875,771.9617,5974.0,7.0,0.90518224,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
32,0.5,771.9617,5974.0,8.0,0.31685227,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
33,0.8958333,771.9617,5974.0,9.0,0.5843892,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
34,0.5,771.9617,5974.0,10.0,0.28824833,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
35,0.7291667,771.9617,5974.0,11.0,0.4558064,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
36,0.75,775.688,6062.0,0.0,0.45732367,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
37,0.5625,775.688,6062.0,1.0,0.3112053,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
38,0.7291667,775.688,6062.0,2.0,0.39616606,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
39,0.625,775.688,6062.0,3.0,0.32608035,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
40,0.625,775.688,6062.0,4.0,0.3161167,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
41,0.7291667,775.688,6062.0,5.0,0.36488327,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
42,0.5,775.688,6062.0,6.0,0.29550996,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
43,0.625,775.688,6062.0,7.0,0.3948107,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
44,0.5208333,775.688,6062.0,8.0,0.33978096,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
45,0.8333333,775.688,6062.0,9.0,0.39194563,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
46,0.6041667,775.688,6062.0,10.0,0.2221067,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
47,0.6875,775.688,6062.0,11.0,0.38419294,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
48,0.7083333,781.43225,5982.0,0.0,0.42443672,6,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
49,0.5,781.43225,5982.0,1.0,0.38924333,6,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
50,0.47916666,781.43225,5982.0,2.0,0.25688422,6,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
