,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.71666664,540.98364,6016.0,0.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
1,0.79444444,554.8148,6016.0,1.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
2,0.6805556,561.4622,6016.0,2.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
3,0.8055556,573.12866,6016.0,3.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
4,0.76111114,588.7503,6016.0,4.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
5,0.63055557,607.00134,6016.0,5.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
6,0.6333333,623.79095,6016.0,6.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
7,0.76111114,640.7025,6016.0,7.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
8,0.6861111,655.96234,6016.0,8.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
9,0.78333336,670.70703,6016.0,9.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
10,0.6,685.1338,6016.0,10.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
11,0.6944444,695.387,6016.0,11.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
12,0.9,543.6351,5982.0,0.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
13,0.89444447,560.76874,5982.0,1.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
14,0.85833335,578.51605,5982.0,2.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
15,0.9,597.4504,5982.0,3.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
16,0.9305556,616.48016,5982.0,4.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
17,0.8611111,627.2379,5982.0,5.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
