,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.725,419.9656,6016.0,0.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
1,0.73333335,419.9656,6016.0,1.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
2,0.6861111,419.9656,6016.0,2.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
3,0.75277776,419.9656,6016.0,3.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
4,0.6388889,419.9656,6016.0,4.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
5,0.5888889,419.9656,6016.0,5.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
6,0.5611111,419.9656,6016.0,6.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
7,0.7861111,419.9656,6016.0,7.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
8,0.525,419.9656,6016.0,8.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
9,0.75,419.9656,6016.0,9.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
10,0.53333336,419.9656,6016.0,10.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
11,0.6805556,419.9656,6016.0,11.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
12,0.80833334,429.34836,5982.0,0.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
13,0.8388889,429.34836,5982.0,1.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
14,0.70555556,429.34836,5982.0,2.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
15,0.8194444,429.34836,5982.0,3.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
16,0.6944444,429.34836,5982.0,4.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
17,0.6722222,429.34836,5982.0,5.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
18,0.56666666,429.34836,5982.0,6.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
19,0.80277777,429.34836,5982.0,7.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
20,0.51111114,429.34836,5982.0,8.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
21,0.8388889,429.34836,5982.0,9.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
22,0.7972222,429.34836,5982.0,10.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
23,0.8527778,429.34836,5982.0,11.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
24,0.9027778,395.9605,5974.0,0.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
25,0.8333333,395.9605,5974.0,1.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
26,0.7916667,395.9605,5974.0,2.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
27,0.76111114,395.9605,5974.0,3.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
28,0.74722224,395.9605,5974.0,4.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
29,0.80833334,395.9605,5974.0,5.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
30,0.64444447,395.9605,5974.0,6.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
31,0.9111111,395.9605,5974.0,7.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
32,0.50277776,395.9605,5974.0,8.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
33,0.9361111,395.9605,5974.0,9.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
34,0.6111111,395.9605,5974.0,10.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
35,0.7277778,395.9605,5974.0,11.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
36,0.63611114,450.20428,6062.0,0.0,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
37,0.59444445,450.20428,6062.0,1.0,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
38,0.6027778,450.20428,6062.0,2.0,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
39,0.6333333,450.20428,6062.0,3.0,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
40,0.59166664,450.20428,6062.0,4.0,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
41,0.63055557,450.20428,6062.0,5.0,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
42,0.4722222,450.20428,6062.0,6.0,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
43,0.625,450.20428,6062.0,7.0,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
44,0.51666665,450.20428,6062.0,8.0,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
45,0.6666667,450.20428,6062.0,9.0,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
46,0.5972222,450.20428,6062.0,10.0,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
47,0.5888889,450.20428,6062.0,11.0,5,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
48,0.67777777,438.17944,5982.0,0.0,6,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
49,0.5888889,438.17944,5982.0,1.0,6,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
50,0.55277777,438.17944,5982.0,2.0,6,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
51,0.59166664,438.17944,5982.0,3.0,6,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
52,0.61944443,438.17944,5982.0,4.0,6,both,21,1,Schirrmeister2017,AttentionBaseNet|_EA-Frozen
