,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.4375,202.36801,6016.0,0.0,0.30298522,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
1,0.5833333,202.36801,6016.0,1.0,0.29591367,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
2,0.5625,202.36801,6016.0,2.0,0.2786911,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
3,0.5416667,202.36801,6016.0,3.0,0.30203968,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
4,0.6041667,202.36801,6016.0,4.0,0.29210907,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
5,0.5208333,202.36801,6016.0,5.0,0.30878246,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
6,0.375,202.36801,6016.0,6.0,0.2662028,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
7,0.7708333,202.36801,6016.0,7.0,0.30201748,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
8,0.6041667,202.36801,6016.0,8.0,0.33387017,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
9,0.7708333,202.36801,6016.0,9.0,0.3344921,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
10,0.47916666,202.36801,6016.0,10.0,0.29717597,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
11,0.5416667,202.36801,6016.0,11.0,0.30169573,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
12,0.7291667,241.29599,5982.0,0.0,0.34988168,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
13,0.5833333,241.29599,5982.0,1.0,0.49758705,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
14,0.5208333,241.29599,5982.0,2.0,0.3189706,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
15,0.5416667,241.29599,5982.0,3.0,0.3291,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
16,0.5208333,241.29599,5982.0,4.0,0.2736186,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
17,0.7083333,241.29599,5982.0,5.0,0.3355308,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
18,0.5625,241.29599,5982.0,6.0,0.26501063,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
19,0.7291667,241.29599,5982.0,7.0,0.43939504,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
20,0.6666667,241.29599,5982.0,8.0,0.3092371,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
21,0.8333333,241.29599,5982.0,9.0,0.40386936,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
22,0.75,241.29599,5982.0,10.0,0.26503533,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
23,0.8333333,241.29599,5982.0,11.0,0.4653716,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
24,0.6041667,195.44258,5974.0,0.0,0.53008693,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
25,0.7291667,195.44258,5974.0,1.0,0.36628076,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
26,0.6875,195.44258,5974.0,2.0,0.36818117,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
27,0.6041667,195.44258,5974.0,3.0,0.32138017,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
28,0.7083333,195.44258,5974.0,4.0,0.38542616,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
29,0.6458333,195.44258,5974.0,5.0,0.30655742,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
30,0.6666667,195.44258,5974.0,6.0,0.34263805,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
31,0.9375,195.44258,5974.0,7.0,0.49754515,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
32,0.5208333,195.44258,5974.0,8.0,0.31350923,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
33,0.8125,195.44258,5974.0,9.0,0.7285487,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
34,0.5208333,195.44258,5974.0,10.0,0.34471026,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
35,0.5208333,195.44258,5974.0,11.0,0.4597968,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
36,0.5625,240.75229,6062.0,0.0,0.32797316,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
37,0.5208333,240.75229,6062.0,1.0,0.32616654,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
38,0.7916667,240.75229,6062.0,2.0,0.5454283,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
39,0.5,240.75229,6062.0,3.0,0.30534804,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
40,0.4375,240.75229,6062.0,4.0,0.3331816,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
41,0.5625,240.75229,6062.0,5.0,0.2978464,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
42,0.47916666,240.75229,6062.0,6.0,0.3142405,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
43,0.6666667,240.75229,6062.0,7.0,0.37245718,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
44,0.6041667,240.75229,6062.0,8.0,0.2931103,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
45,0.6041667,240.75229,6062.0,9.0,0.5622747,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
46,0.5416667,240.75229,6062.0,10.0,0.2844549,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
47,0.5833333,240.75229,6062.0,11.0,0.29013133,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
48,0.5416667,309.003,5982.0,0.0,0.31443363,6,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
49,0.625,309.003,5982.0,1.0,0.30003333,6,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
50,0.5625,309.003,5982.0,2.0,0.28432927,6,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
51,0.47916666,309.003,5982.0,3.0,0.27685016,6,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
52,0.6041667,309.003,5982.0,4.0,0.3141769,6,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
53,0.4375,309.003,5982.0,5.0,0.3107863,6,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
54,0.47916666,309.003,5982.0,6.0,0.32722068,6,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
55,0.5208333,309.003,5982.0,7.0,0.45331365,6,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
56,0.5208333,309.003,5982.0,8.0,0.32576013,6,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
57,0.5625,309.003,5982.0,9.0,0.33467433,6,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
58,0.5416667,309.003,5982.0,10.0,0.33227792,6,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
59,0.5208333,309.003,5982.0,11.0,0.34551558,6,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
60,0.47916666,220.18295,5982.0,0.0,0.31500497,7,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
61,0.47916666,220.18295,5982.0,1.0,0.31577608,7,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
62,0.5416667,220.18295,5982.0,2.0,0.3707923,7,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
63,0.47916666,220.18295,5982.0,3.0,0.33137524,7,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
64,0.5833333,220.18295,5982.0,4.0,0.3717916,7,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
65,0.7083333,220.18295,5982.0,5.0,0.32446685,7,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
66,0.47916666,220.18295,5982.0,6.0,0.31004742,7,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
67,0.5416667,220.18295,5982.0,7.0,0.32670563,7,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
68,0.5625,220.18295,5982.0,8.0,0.32532734,7,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
69,0.6875,220.18295,5982.0,9.0,0.33596468,7,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
70,0.375,220.18295,5982.0,10.0,0.32548863,7,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
71,0.5208333,220.18295,5982.0,11.0,0.28038764,7,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
72,0.4375,272.0315,6094.0,0.0,0.30540803,8,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
73,0.5833333,272.0315,6094.0,1.0,0.28685534,8,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
74,0.6458333,272.0315,6094.0,2.0,0.4055474,8,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
75,0.41666666,272.0315,6094.0,3.0,0.2845061,8,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
76,0.41666666,272.0315,6094.0,4.0,0.3191961,8,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
77,0.5833333,272.0315,6094.0,5.0,0.26748267,8,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
78,0.4375,272.0315,6094.0,6.0,0.25951466,8,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
79,0.625,272.0315,6094.0,7.0,0.26714778,8,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
80,0.45833334,272.0315,6094.0,8.0,0.2685252,8,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
81,0.5416667,272.0315,6094.0,9.0,0.28148416,8,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
82,0.5,272.0315,6094.0,10.0,0.27774602,8,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
83,0.6458333,272.0315,6094.0,11.0,0.29531172,8,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
84,0.47916666,201.27888,5982.0,0.0,0.29108042,9,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
85,0.39583334,201.27888,5982.0,1.0,0.35752237,9,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
86,0.6041667,201.27888,5982.0,2.0,0.26126286,9,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
87,0.5208333,201.27888,5982.0,3.0,0.23971626,9,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
88,0.4375,201.27888,5982.0,4.0,0.23895693,9,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
89,0.45833334,201.27888,5982.0,5.0,0.29455078,9,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
90,0.39583334,201.27888,5982.0,6.0,0.31577387,9,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
91,0.4375,201.27888,5982.0,7.0,0.2707099,9,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
92,0.39583334,201.27888,5982.0,8.0,0.29833016,9,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
93,0.5416667,201.27888,5982.0,9.0,0.29439253,9,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
94,0.47916666,201.27888,5982.0,10.0,0.29050505,9,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
95,0.5,201.27888,5982.0,11.0,0.3219084,9,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
96,0.8333333,208.44176,5982.0,0.0,0.36128446,10,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
