,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.6527778,250.85362,6016.0,0.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
1,0.76944447,341.14453,6016.0,1.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
2,0.63055557,454.0764,6016.0,2.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
3,0.64166665,557.69977,6016.0,3.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
4,0.6166667,658.0687,6016.0,4.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
5,0.675,757.5604,6016.0,5.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
6,0.6861111,839.99677,6016.0,6.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
7,0.78333336,905.8968,6016.0,7.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
8,0.56666666,998.39557,6016.0,8.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
9,0.8111111,1045.0057,6016.0,9.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
10,0.5777778,1146.691,6016.0,10.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
11,0.62222224,1216.313,6016.0,11.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
12,0.85555553,295.75525,5982.0,0.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
13,0.8888889,365.7051,5982.0,1.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
14,0.875,441.8751,5982.0,2.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
15,0.8666667,525.8405,5982.0,3.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
16,0.7722222,608.98193,5982.0,4.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
17,0.87777776,685.7015,5982.0,5.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
18,0.7972222,764.2814,5982.0,6.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
19,0.9527778,841.69336,5982.0,7.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
20,0.7583333,928.2554,5982.0,8.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
21,0.8527778,1006.6379,5982.0,9.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
22,0.83055556,1081.3325,5982.0,10.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
23,0.8972222,1157.2607,5982.0,11.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
24,0.96944445,293.2799,5974.0,0.0,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
25,0.91944444,371.8077,5974.0,1.0,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
26,0.9527778,451.264,5974.0,2.0,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
27,0.8611111,523.8731,5974.0,3.0,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
28,0.87222224,596.60126,5974.0,4.0,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
29,0.8333333,676.9819,5974.0,5.0,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
30,0.8611111,750.0794,5974.0,6.0,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
31,0.96666664,824.7644,5974.0,7.0,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
32,0.6111111,869.9694,5974.0,8.0,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
33,0.98333335,947.0627,5974.0,9.0,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
34,0.6666667,987.12726,5974.0,10.0,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
35,0.86388886,1059.379,5974.0,11.0,4,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
36,0.6611111,309.24335,6062.0,0.0,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
37,0.5888889,376.1131,6062.0,1.0,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
38,0.73055553,441.06665,6062.0,2.0,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
39,0.57222223,513.0356,6062.0,3.0,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
40,0.5555556,582.4056,6062.0,4.0,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
41,0.5388889,626.8525,6062.0,5.0,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
42,0.58055556,677.93317,6062.0,6.0,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
43,0.725,745.33936,6062.0,7.0,5,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
