,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.65,386.3867,6016.0,0.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
1,0.74444443,386.3867,6016.0,1.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
2,0.575,386.3867,6016.0,2.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
3,0.6388889,386.3867,6016.0,3.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
4,0.5638889,386.3867,6016.0,4.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
5,0.5555556,386.3867,6016.0,5.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
6,0.5,386.3867,6016.0,6.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
7,0.79444444,386.3867,6016.0,7.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
8,0.51111114,386.3867,6016.0,8.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
9,0.8194444,386.3867,6016.0,9.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
10,0.49444443,386.3867,6016.0,10.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
11,0.54444444,386.3867,6016.0,11.0,2,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
12,0.5638889,364.35538,5982.0,0.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
13,0.71666664,364.35538,5982.0,1.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
14,0.56666666,364.35538,5982.0,2.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
15,0.61388886,364.35538,5982.0,3.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
16,0.6027778,364.35538,5982.0,4.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
17,0.5361111,364.35538,5982.0,5.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
18,0.5611111,364.35538,5982.0,6.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
19,0.6333333,364.35538,5982.0,7.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
20,0.4861111,364.35538,5982.0,8.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
21,0.6611111,364.35538,5982.0,9.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
22,0.6,364.35538,5982.0,10.0,3,both,21,1,Schirrmeister2017,CTNet|_EA-Frozen
